surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
手裏,シュリ,shuri,名詞-普通名詞-一般,1,ninja star,"A shuriken, commonly referred to as a 'ninja star' or throwing star, is a traditional Japanese concealed weapon used as a hidden dagger or a projectile. Shurikens are often used as supplementary weapons to the samurai sword in Japan.",忍者は手裏剣を使って敵を倒した。,noun
戻っ,モドッ,modotsu,動詞-一般,1,return,"To go back to a previous place or condition, often referring to a person or object.",彼は家に戻った。,verb
戻さ,モドサ,modosa,動詞-一般,1,return,To return something to its previous state or place; to put something back.,本を棚に戻さなければならない。,verb
戦術,センジュツ,senjutsu,名詞-普通名詞-一般,1,tactics,The art or science of arranging and maneuvering forces in battle to achieve a specific objective. It involves strategic planning and decision-making to gain advantage over an opponent.,彼のスポーツにおける戦術は非常に効果的だった。,noun
戦,イクサ,sen,名詞-普通名詞-一般,1,war,War or battle; a state of armed conflict between different countries or different groups within a country.,第二次世界大戦は激しい戦でした。,noun - common noun - general
成長,セーチョー,seichou,名詞-普通名詞-サ変可能,1,growth,"The process of developing or maturing physically, mentally, or spiritually. Can also refer to the increase in size, amount, value, or strength of something.",彼の成長は著しい。,noun
慌てん,アワテン,awate,動詞-一般,1,hurry,"To act in a flustered or hasty manner, often due to confusion or emergency.",彼は急に電話を受けて慌てんとした。,verb
慌て,アワテ,awate,動詞-一般,1,fret,"To be in a hurry, panic, or become flustered. It often implies a sense of confusion or anxiety when responding to a situation.",彼は慌ててその電話に応答した。,verb
悪,アク,aku,接頭辞,1,bad,"The prefix '悪' (aku) is used in Japanese to signify something negative, bad, or evil. It can be used at the beginning of a word to indicate the bad aspect or quality of something.",彼の行動には悪影響があります。,prefix
恋愛,レンアイ,ren'ai,名詞-普通名詞-サ変可能,1,love,Romantic love or a romantic relationship. It implies an emotional attachment or affection between people.,彼は彼女に恋愛感情を抱いている。,noun
本来,ホンライ,honrai,名詞-普通名詞-副詞可能,1,originally,In its original form; under normal or appropriate conditions or circumstances.,彼は本来の力を発揮した。,noun
朝,アサ,asa,名詞-普通名詞-副詞可能,1,morning,"'Asa' means morning in English. It can refer to the time of day after night and before afternoon, typically ranging from when one wakes up to around noon. It can also be used adverbially to describe actions that take place in the morning.",毎朝、ジョギングをします。,"noun, common noun, adverbial possible"
晩ごはん,バンゴハン,ban,名詞-普通名詞-一般,1,dinner,"The evening meal, usually the last meal of the day.",彼は午後7時に晩ごはんを食べました。,noun
昼飯,ヒルメシ,hirumeshi,名詞-普通名詞-一般,1,lunch,"A meal eaten around midday, typically consisting of lighter fare than dinner, and often taken at or around an individual's break from work or study.",昼飯を食べようか？,noun
昼飯,チューハン,hirumeshi,名詞-普通名詞-一般,1,lunch,"A meal eaten around midday, typically consisting of lighter fare than dinner, and often taken at or around an individual's break from work or study.",昼飯を食べようか？,noun
得意,トクイ,tokui,名詞-普通名詞-形状詞可能,1,pride,"Pride refers to a feeling of satisfaction or pleasure taken in one's own achievements or abilities. In Japanese, 得意 can imply having a particular skill, strong point, or area of expertise, and can also mean feeling proud or confident about something.",彼は数学が得意です。,noun
新しい,アタラシー,atarashii,形容詞-一般,1,new,"'新しい' means 'new' and is used to describe something that is recent, fresh, or not previously existing.",新しい服を買いました。,adjective
復興,フッコー,fukkou,名詞-普通名詞-サ変可能,1,reconstruction,"Reconstruction refers to the process of rebuilding or restoring something, often used in the context of recovery after a disaster or economic restoration.",地震後の復興が始まりました。,noun
組み手,クミテ,kumi,名詞-普通名詞-一般,1,sparring,"A term commonly used in martial arts, particularly karate, to describe a practice fight or a training session involving combat techniques between pairs.",彼は空手の組み手で優勝した。,noun
離れ離れ,ハナレバナレ,hanare,名詞-普通名詞-形状詞可能,1,apart,Separated or scattered; often used to describe people or things being far apart from each other.,私たちは戦争中に離れ離れになった。,noun
限度,ゲンド,gendo,名詞-普通名詞-一般,1,limit,"Limit refers to the extent or boundary of something, particularly in terms of amount or degree. It can be used to describe the maximum allowable value or the furthest point that something can reach.",限度を超えてはいけない。,noun
陽動,ヨードー,youdou,名詞-普通名詞-一般,1,diversion,"A strategy or action intended to distract or mislead an opponent, usually used in military or strategic contexts to draw attention away from the main point of attack or focus.",彼らは陽動作戦を成功させた。,noun
隠れ,カクレ,kakure,動詞-一般,1,hide,'Kakure' is a verb that means to hide or conceal something or oneself. It implies going out of sight or covering something up to make it less visible.,彼は木の後ろに隠れました。,verb
隠れる,カクレル,kakure,動詞-一般,1,hide,"To go out of sight, to conceal oneself or something from view.",猫はベッドの下に隠れました。,verb
集合,シューゴー,shuugou,名詞-普通名詞-サ変可能,1,collection,"A group or gathering of things, people, or elements; often used in contexts such as mathematics to refer to a set.",人々は公園に集合した。,noun
難しい,ムズカシー,muzukashii,形容詞-一般,1,Difficult,"Refers to something that requires great effort or skill to accomplish, understand, or endure. It can also imply complexity or hardship.",この問題は難しいです。,Adjective
難関,ナンカン,nankan,名詞-普通名詞-一般,1,barrier,"A difficult or challenging obstacle, something that is hard to overcome.",経済成長には多くの難関がある。,noun
食べ比べ,タベクラベ,tabe,名詞-普通名詞-一般,1,tasting comparison,"The act of comparing different foods or drinks by tasting them to note differences in flavor, quality, etc.",様々なリンゴの食べ比べをして、一番好みの味を選びました。,noun
飯,メシ,meshi,名詞-普通名詞-一般,1,meal,"The word 飯 (meshi) primarily refers to a meal, especially in informal or casual contexts. It can also mean cooked rice, which is often a staple in Japanese meals.",今日の晩ご飯はカレーライスです。,noun
飲み,ノミ,nomi,動詞-一般,1,to drink,"The verb '飲み' (nomi) refers to the action of drinking, such as consuming liquids like water, tea, or alcohol.",彼はビールを飲みました。,verb
限っ,カギッ,kagitsu,動詞-一般,1,limit,To set a restriction or boundary on something. Often used in expressions like 'not limited to' or 'only limited' to indicate the scope of something.,利用は特定の条件に限って許可されます。,verb
逃げ回る,ニゲマワル,nige,動詞-一般,1,run around,"The verb '逃げ回る' primarily means to run around or flee continuously, often in an attempt to avoid being caught or to escape from something or someone chasing you. It suggests a sense of evasion and is used in contexts where someone is avoiding capture or dealing with a persistent threat.",彼は警察から逃げ回っていた。,verb
道具,ドーグ,dougu,名詞-普通名詞-一般,1,tool,An instrument or implement used for a specific purpose. It can refer to various devices or equipment used in tasks or activities.,彼は庭の手入れに多くの道具を使っています。,noun
遅,チ,chi,名詞-固有名詞-人名-姓,1,Oso,"The Japanese surname '遅' (Oso) is used as a family name. It is not commonly encountered, and in this context, it is considered a proper noun, specifically referring to a human surname.",彼の名字は遅です。,noun-proper noun-personal name-surname
遅い,オソイ,osoi,形容詞-一般,1,slow,The word '遅い' means 'slow' in English and can also indicate something that is delayed or late in time.,彼の車はとても遅い。,adjective
過ぎ,スギ,sugi,接尾辞-形状詞的,1,too much,"The suffix ""過ぎ"" is used in Japanese to indicate excessiveness or something being too much. It is often attached to adjectives or verbs to indicate that the degree of the particular quality or action is higher than desired or necessary.",食べ過ぎてしまった。,suffix
選抜,センバツ,senbatsu,名詞-普通名詞-サ変可能,1,selection,"The act of choosing or selecting from among a group, typically referring to selecting the best candidates for a particular purpose. It can also imply a competitive process.",選抜試験を受けるために、たくさん勉強しました。,noun
野望,ヤボー,yabou,名詞-普通名詞-一般,1,ambition,"A strong desire to achieve something, typically requiring determination and hard work; can also imply a strategic or grand plan.",彼には野望があります。,noun
髪形,カミガタ,kamigata,名詞-普通名詞-一般,1,hairstyle,"A hairstyle refers to the way in which someone's hair is cut or arranged. It can include various styles and cuts based on cultural trends, personal preference, or practical needs.",彼女は新しい髪形を試してみた。,noun
黒板,コクバン,kokuban,名詞-普通名詞-一般,1,blackboard,"A flat surface, typically made of a smooth material, usually black or green, used for writing or drawing with chalk in educational settings like schools.",教室の黒板に先生が今日の授業の内容を書いた。,noun
黒猫,クロネコ,kuroneko,名詞-普通名詞-一般,1,black cat,A cat with black fur. It is often associated with various cultural superstitions and symbolism.,黒猫が夜道を歩いている。,noun
ＯＫ,オーケー,O,名詞-普通名詞-サ変可能,1,OK,"OK is a term used to express agreement, acceptance, or approval. In Japanese, it is used similarly to English to indicate that something is satisfactory or agreeable.",その提案についてはＯＫです。,noun
９,９,9,名詞-数詞,1,nine,The word '９' is the Japanese numeral for 'nine'. It is used to express the number 9 in counting or quantifying objects.,彼は９つのりんごを持っています。,noun-numeral
７,７,7,名詞-数詞,1,seven,"The Japanese numeral for the number seven. In contexts where numbers are used, it represents the digit 7.",私は７つのりんごを持っています。,noun-numeric
逆,ギャク,gyaku,名詞-普通名詞-形状詞可能,1,reverse,"The concept of being opposite in position, direction, order, or effect.",彼は逆の方向に進んだ。,noun
逃げ,ニゲ,nige,動詞-一般,1,escape,"The act of running away or fleeing to avoid danger, responsibility, or capture.",彼は危険から逃げた。,verb
苦労,クロー,kurou,名詞-普通名詞-サ変形状詞可能,1,hardship,"The word '苦労' refers to difficulties or struggles that someone experiences, often involving significant effort or endurance through challenging situations.",彼は仕事で多くの苦労を経験しました。,noun
聞い,キー,kii,動詞-一般,1,hear,"The verb '聞い' is the past form of '聞く' which means to hear, listen to, or ask. It is used to describe the action of perceiving sound with the ears, or inquiring information.",彼の話を聞いた。,verb - general
脱落,ダツラク,datsuraku,名詞-普通名詞-サ変可能,1,omission,"In English, the word '脱落' refers to the act of falling off, omission, or elimination. It can denote something that has been left out, missed, or someone who has dropped out from a group or activity.",彼は試験に落ちたため、脱落した。,noun
自体,ジタイ,jitai,名詞-普通名詞-一般,1,itself,"The word '自体' refers to 'itself' or 'in itself', indicating the essence or the object in question without any external influences. It is often used to emphasize the independence or self-sufficiency of a situation or item.",問題は制度自体にあります。,noun
落っこっ,オッコッ,otsu,動詞-一般,1,fall,"'落っこっ' is a colloquial conjugation of the verb 落ちる (ochiru), meaning 'to fall' or 'to drop'. It is often used in casual conversation.",彼は木から落っこちた。,verb
落とさ,オトサ,oto,動詞-一般,1,drop,"To let something fall or to accidentally let something fall, often unintentionally.",彼は電話を落としてしまった。 (He accidentally dropped his phone.),verb
落とし,オトシ,oto,動詞-一般,1,drop,"To let something fall, or to decrease something. Also can mean to remove or lose something.",彼は財布を落としました。,verb
葉隠れ,ハガクレ,hagakure,名詞-普通名詞-一般,1,Hagakure,"Hagakure is a Japanese phrase that literally means ""hidden by the leaves"" and can refer to a state of being concealed or hidden, often in a secretive or protective manner. It is also the title of a famous book by Yamamoto Tsunetomo, which serves as a practical and spiritual guide for samurai.",彼は葉隠れの精神を学び、日々の生活に活かしています。,noun
突く,ツク,tsuku,動詞-一般,1,poke,"To thrust or push something with a pointed object or by using one's fingers or hands. It can mean to jab, stab, or prod metaphorically or physically.",彼は指で肩を突いた。,verb
禁断,キンダン,kindan,名詞-普通名詞-サ変可能,1,forbidden,"The term '禁断' refers to something that is forbidden or prohibited, often with a connotation of something being taboo or off-limits due to moral, legal, or social restrictions.",禁断の果実に手を出してはいけない。,noun
秘伝,ヒデン,hiden,名詞-普通名詞-一般,1,secret,"A secret technique or method, often passed down through generations; can also refer to confidential information.",その料理店の秘伝のソースは絶品だ。,noun
素早く,スバヤク,subayaku,形容詞-一般,1,quickly,"The word '素早く' means 'quickly' or 'swiftly' in English, describing an action that is done with speed and efficiency.",彼は素早く動いた。,adjective
縛りつけ,シバリツケ,shibari,動詞-一般,1,tie up,"To bind or fasten someone or something securely, often using rope or similar materials, and restrict movement.",彼はロープで彼女を縛りつけた。,verb
終わらす,オワラス,owa,動詞-一般,1,finish,To bring something to an end or to complete a task or action.,彼は早く仕事を終わらせることができた。,verb
結局,ケッキョク,kekkyoku,名詞-普通名詞-副詞可能,1,eventually,"Ultimately, finally, or in the end, often used to indicate the result or conclusion of a situation after considering various possibilities or efforts.",彼は結局来なかった。,"noun (common noun, optionally adverbial)"
続き,ツズキ,tsuzuki,名詞-普通名詞-一般,1,continuation,"Continuation, the act of continuing something or the remaining part of something. It can also refer to a sequence or part that follows another.",話の続きを聞かせてください。,noun
豊か,ユタカ,yutaka,形状詞-一般,1,rich,"The word '豊か' (yutaka) refers to something that is abundant, ample, plentiful, or wealthy. It can describe both physical wealth as well as a richness in quality or variety.",彼の家族はとても豊かです。,adjective
諸君,ショクン,shokun,名詞-普通名詞-一般,1,gentlemen,"A term used to address an audience, often translated as 'gentlemen' or 'ladies and gentlemen.' It can also mean 'friends' or 'everyone' depending on the context, often used to catch the attention of listeners in a speech or conversation.",諸君、ご清聴ありがとうございます。,noun
言え,イエ,ie,動詞-一般,1,say,"The verb ""言え"" is the potential form of 言う (iu), which means ""to say"" or ""to tell."" In this form, it implies the ability or possibility to say something.",彼にはそれが言えない。,verb
解く,トク,toku,動詞-一般,1,solve,"To find an answer or explanation for a problem or mystery, or to remove or release by untying or opening.",彼女はその問題を解くのに成功した。,verb
