surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
チャ,チャ,cha,名詞-普通名詞-一般,3,tea,A beverage made by soaking cured or fresh tea leaves in hot water. It is commonly consumed in many cultures around the world and can be served hot or cold.,毎朝チャを飲むのが好きです。,noun
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,3,chakra,"Chakra refers to the centers of spiritual energy within the human body in various spiritual and healing traditions. It is often associated with practices such as yoga and meditation, where the goal is to balance or activate these energy centers.",ヨガの練習でチャクラを活性化することを目指します。,noun - common noun - general
トラ,トラ,tora,名詞-普通名詞-一般,3,tiger,"Tiger, a large cat species native to Asia, known for its striped coat.",動物園でトラを見ました。,noun
じじい,ジジー,jijii,名詞-普通名詞-一般,3,old man,"An informal or derogatory term for an old man, usually implying that the person is elderly and perhaps not very active or sharp.",あのじじいは毎朝公園を散歩している。,noun
大人,オトナ,otona,名詞-普通名詞-一般,3,adult,An adult refers to a fully grown person who is no longer a child. It implies maturity both physically and mentally.,彼は大人になった。,noun
すげぇ,スゲー,sugee,形容詞-一般,3,awesome,A slang expression used to describe something that is extremely impressive or cool. It can also mean 'incredible' or 'fantastic.',昨日のライブはすげぇ楽しかった。,adjective
なきゃ,ナキャ,nakya,助動詞,3,must,"The word 'なきゃ' is the contracted form of 'なければ' and it indicates necessity or obligation, similar to 'must' or 'have to' in English.",宿題をしなきゃいけない。,auxiliary verb
近道,チカミチ,chikamichi,名詞-普通名詞-サ変可能,3,shortcut,A route that is shorter or quicker than the usual or official one. It can be metaphorically used to mean a quicker method to achieve something.,毎日、私は公園を通る近道を使います。,noun
相手,アイテ,aite,名詞-普通名詞-一般,3,partner,"Refers to one's companion, counterpart, opponent, or the person one is interacting with.",私はその問題について彼の相手を務めた。,noun
エリート,エリート,eriito,名詞-普通名詞-一般,3,elite,"A person or group considered to be the best or most distinguished in a particular society or area, often due to their superiority in terms of education, wealth, or talent.",彼は会社のエリートとして知られている。,noun
覚悟,カクゴ,kakugo,名詞-普通名詞-サ変可能,3,resolution,"Resolution refers to the firm determination or decision to do something, as well as a readiness to face and overcome challenges or difficulties. It can also imply readiness for the consequences or acceptance of a situation.",彼は新しい挑戦に向けて覚悟を決めた。,noun
エネルギー,エネルギー,enerugii,名詞-普通名詞-一般,3,energy,"Energy refers to the capacity for doing work, or the power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines.",太陽は膨大なエネルギーを提供する。,noun
おる,オル,oru,動詞-非自立可能,3,to be,"Used in Kansai dialect or informal Japanese to mean 'to be' or 'to exist'. In standard Japanese, it often conveys a humble or formal connotation when referring to oneself.",彼は部屋におる。,verb - auxiliary
いろいろ,イロイロ,iroiro,副詞,3,variously,This word means 'variously' or 'in various ways.' It is used to describe things that are diverse or occur in multiple forms or manners.,いろいろな経験をしました。,adverb
うまく,ウマク,umaku,形容詞-一般,3,well,"In English, 'うまく' means doing something well, skillfully, or successfully. It can imply that something was accomplished with finesse or expertise.",彼はその仕事をうまくやり遂げた。,adjective
男性,ダンセー,dansei,名詞-普通名詞-一般,2,male,A human male; an adult man. Can also refer to male animals.,彼は賢い男性だ。,noun-common-noun-general
や,ヤ,ya,形状詞-一般,2,and,"Used to connect words of the same part of speech, clauses, or sentences to indicate a relationship between them. Often used to list items, as in 'X, Y and Z.'",私はリンゴやバナナを食べます。,conjunction
こなす,コナス,konasu,動詞-非自立可能,2,to handle,To manage or deal with something efficiently. It can also imply skillfully completing a task or performing a function repeatedly or smoothly.,彼女は仕事を手際よくこなします。,verb (independent)
決まっ,キマッ,kima,動詞-一般,2,decide,"The verb '決まっ' refers to the state of something being decided, determined, or settled. It indicates that a decision has been made or a conclusion has been reached.",試合の日程が決まった。,verb
わし,ワシ,washi,代名詞,2,I,"""わし"" is a first-person pronoun commonly used by older men, or in characterizations of older men, in Japanese. It conveys a sense of authority or age.",昔の先生は、「わしはこう考える」と言った。,pronoun
殴ら,ナグラ,nagura,動詞-一般,2,hit,To strike or punch someone or something with physical force. Often used to describe a physical act of aggression or violence.,彼は友達を殴らないように心がけている。,verb
もらう,モラウ,morau,動詞-非自立可能,2,receive,'もらう' primarily means 'to receive' and is used when one gets something from someone else. It can also imply benefiting from someone's action when used as an auxiliary verb.,友達からプレゼントをもらった。,verb (auxiliary)
胸,ムネ,mune,名詞-普通名詞-一般,2,chest,"The word '胸' refers to the chest or breast area of the human body, but it can also imply emotions or feelings contained within one's heart.",彼女は胸に手を当てた。,noun
いつ,イツ,itsu,代名詞,2,when,A pronoun used to ask about time. It can be used to inquire about the timing of an event or action.,彼はいつ来ますか？,pronoun
ぬ,ヌ,nu,助動詞,2,not,"In classical Japanese, 'ぬ' is an auxiliary verb used to indicate negation, similar to 'ない' in modern Japanese. It is used to express the non-occurrence of an action or state.",彼は約束を守らぬ男だ。,auxiliary verb
いけ,イケ,ike,動詞-非自立可能,2,go,"This is a form of the verb 行く ('iku'), meaning 'to go'. 'いけ' (ike) is an imperative form used to give a command or an instruction for someone to 'go' somewhere or do something.",彼にいけと言った。,verb (non-independent)
登録,トーロク,touroku,名詞-普通名詞-サ変可能,2,registration,"The act or process of recording or enrolling something or someone in an official list or system. It can refer to signing up for an event, creating an account, or documenting details.",私は会議の登録を済ませました。,noun
ほどき,ホドキ,hodoki,動詞-一般,2,untie,"The act of untying or loosening something, such as untangling a knot or separating things that are bound together.",彼は靴ひもをほどきました。,verb
ましょう,マショー,mashou,助動詞,2,let's,"'ましょう' is an auxiliary verb used in Japanese to suggest doing something together, similar to the English expression 'let's'. It is attached to the verb stem to form polite suggestions or invitations.",一緒に映画を見に行きましょう。,auxiliary verb
眼鏡,メガネ,megane,名詞-普通名詞-一般,2,glasses,"Eyeglasses or spectacles, typically consisting of lenses set in a frame that rests on the nose and ears, used to correct or assist defective eyesight or protect the eyes.",彼はおしゃれな眼鏡をかけている。,noun
アホ,アホ,aho,名詞-普通名詞-形状詞可能,2,idiot,"A derogatory term used to describe someone who is foolish or lacks intelligence. Similar to 'fool' or 'moron' in English, it can sometimes be used humorously or affectionately in certain contexts.",彼はアホなことを言った。,noun
オッ,オッ,otsu,名詞-普通名詞-一般,2,oh,"A common exclamation or interjection derived from Western languages used to express surprise, joy, or similar emotions in Japanese.",オッ、もう時間だ！ 早く行かなきゃ。,noun - common noun - general
帰り,カエリ,kaeri,動詞-一般,2,return,"The act of going back or coming back to a place, especially to home or the original place of departure.",彼は仕事からの帰りが遅かった。,verb
使う,ツカウ,tsukau,動詞-一般,2,use,To employ or apply something for a purpose; to utilize.,彼は毎日コンピュータを使う。,verb
倒し,タオシ,taoshi,動詞-一般,2,defeat,"'倒す' generally means to knock down, defeat, or overthrow. It can be used to describe overcoming an opponent or obstacle, either literally or figuratively.",彼は敵を倒した。,verb
子分,コブン,kobun,名詞-普通名詞-一般,2,henchman,"A subordinate or assistant, often used to describe a follower of a leader, especially in a group involved in crime or mischievous activities.",ボスは常に彼の子分を連れている。,noun
大嫌い,ダイキライ,daikirai,形状詞-一般,2,hate,An adjective used to express strong dislike or hatred towards something or someone.,彼は勉強が大嫌いだ。,adjective
勝負,ショーブ,shoubu,名詞-普通名詞-サ変可能,2,match,"A contest or competition between two or more parties where the outcome or result is determined by skill or chance. It can also refer to an outcome where the stakes are high, often used in sports or games.",彼は今日の試合で勝負をかけた。,noun
厳しい,キビシー,ikameshii,形容詞-一般,2,strict,"Describes something or someone that is demanding, difficult, or severe; it can refer to a strict rule, a severe environment, or a stern person.",その先生は厳しいことで有名だ。,adjective
根性,コンジョー,konjou,名詞-普通名詞-一般,2,Grit,"Refers to the strength of mind, determination, or perseverance to do something despite difficulties or challenges. It can also signify courage and willpower.",彼は根性で最後まで戦い抜いた。,Noun
ス,ス,su,助動詞,2,do,"An auxiliary verb used to indicate a polite or respectful action, similar to the suffix '-masu' ending verbs in Japanese. Often used to show respect or politeness.",彼は毎朝運動をス。,auxiliary verb
トラップ,トラップ,torappu,名詞-普通名詞-一般,2,trap,"A trap is a device or strategy designed to catch, capture, or ensnare something or someone by surprise or through deceptive means.",彼はトラップに引っかかった。,noun-common
書,ショ,kaki,接尾辞-名詞的-一般,2,writing,"The Japanese word '書' when used as a suffix, often denotes something related to writing, documents, or books. It can imply a style of writing, a document, or related items. For example, it can be used to indicate a 'book' or a 'letter'.",彼は歴史書を読みます。,noun-forming suffix
フン,フン,fun,名詞-固有名詞-人名-一般,2,Foon,"Refers to a common given name used for a person in Japanese. There may be variations in spelling or pronunciation, but it generally denotes an individual named Foon.",フンさんは日本に住んでいます。,noun - proper noun - person name - general
ボン,ボン,bon,副詞,2,bang,"This is an adverb used to describe a sound like a sudden, loud noise, such as a slap or bang.",ドアがボンと閉まった。,adverb
撮り直し,トリナオシ,tori,動詞-一般,2,retake,"The act of taking a photograph or recording again, usually because the first attempt was unsatisfactory.",彼は写真を撮り直しすることに決めた。,verb
一緒,イッショ,issho,名詞-普通名詞-サ変可能,2,together,"The word '一緒' is a noun in Japanese that means 'together,' 'with,' or 'in the same place/time.' It is used to describe situations where two or more people or things are together or doing something together.",彼女と一緒に行きます。,noun
世代,セダイ,sedai,名詞-普通名詞-一般,2,generation,"Refers to a group of people born and living at about the same time, regarded collectively. It can also mean the production or period of time a certain group lives through.",新しい世代が社会の変化を担っています。,noun
呼ぶ,ヨブ,yobu,動詞-一般,2,call,"to call, summon, or refer to someone or something by a certain name or title. It can also mean to invite or beckon someone to come over.",彼を呼ぶために大声で叫んだ。,verb
っつう,ッツー,ttsuu,助動詞,2,means,"A colloquial contraction of 'という', often used in informal or casual contexts to mean 'means', 'says', or 'is called'. It can also be used to emphasize or clarify what something is or represents.",彼が言っていることは、つまり好きってっつうことです。,auxiliary verb
う～ん,ウーン,u,感動詞-一般,2,hmm,"A Japanese interjection expressing hesitation, doubt, or thinking. Similar to 'hmm' or 'uh' in English, often used when one is trying to come to a decision or recalling information.",う～ん、どっちがいいかな？,interjection
言う,イウ,iu,動詞-一般,2,say,To express something in words; to speak or to state something verbally. It can also mean to tell or to mention something.,彼はいつも賢いことを言う。,verb
部,ブ,bu,名詞-普通名詞-助数詞可能,2,department,"A section or division within a larger organization, institution, or group. It can also refer to a part or component of a larger whole. In a more general sense, it might be used to denote any segment or portion of something.",彼は営業部に配属されました。,noun
語る,カタル,kataru,動詞-一般,2,speak,"To narrate, describe, or talk about something. It can refer to the act of telling stories or conveying information.",彼は自分の夢について語った。,verb
言わ,イワ,iwa,動詞-一般,2,say,"To utter or express in words. It can also mean to convey information or articulate a thought, opinion, or remark.",彼は何も言わなかった。,verb
認める,ミトメル,mitome,動詞-一般,2,recognize,"The verb '認める' (mitomeru) means to recognize, approve, or admit something. It can also convey the acknowledgment or acceptance of a fact, truth, or person's worth or efforts.",彼は自分の間違いを認めた。,verb
すぐ,スグ,sugu,副詞,2,immediately,"Indicates something happening without delay, right away, or promptly.",すぐにその問題を解決します。,adverb
こう,コー,kou,副詞,2,like this,"The word 'こう' is an adverb in Japanese, which is used to describe the manner or way in which something is done, translating to 'like this' or 'thus' in English. It indicates a specific way or method that is being referred to at that moment.",こうやれば、成功しますよ。,adverb
とおり,トーリ,toori,名詞-普通名詞-助数詞可能,2,street,"'とおり' mainly means 'street' or 'avenue' in English, referring to a road or path in an urban context. It can also imply a manner or way something is done when used as '通り'.",この通りにはたくさんの店があります。,noun - general noun - countable
ｹﾞﾝｿﾞｳ,ｹﾞﾝｿﾞｳ,genzou,名詞-普通名詞-一般,2,development,The word refers to the process of developing a photograph from film or the production of a physical image from a digital source.,写真の現像には時間がかかります。,noun
とる,トル,toru,助動詞,2,to take,"'とる' can be used as an auxiliary verb indicating the action of taking, obtaining, or capturing something. It often combines with nouns or verbs to modify the primary action or intent.",写真をとる。,auxiliary verb
超,チョー,chou,接頭辞,2,super,"The prefix '超' (chou) in Japanese can mean 'super', 'ultra', or 'extra', indicating a high degree, extreme, or beyond normal. It is often used to emphasize a characteristic in a dramatic fashion.",超音波は視覚では捉えられません。,prefix
見る,ミル,miru,動詞-非自立可能,2,see,"To perceive or detect something with the eyes. It can also mean to watch, observe, or check something.",映画を見る。,verb
慣れ,ナレ,nare,動詞-非自立可能,1,get used to,"The verb '慣れ' (nare) refers to the state of becoming accustomed or used to something. It is often used to describe a process or a condition where someone or something has adapted to a new environment, situation, or routine. It is the potential form of '慣れる', which means 'to get used to'.",新しい環境に慣れるには時間がかかる。,verb (potential auxiliary)
態度,タイド,taido,名詞-普通名詞-一般,1,attitude,"The manner or disposition in which behavior is expressed towards others or situations. It can relate to one's posture, feelings, or external behavior.",彼は仕事に対して常に積極的な態度を取ります。,noun
高い,タカイ,takai,形容詞-一般,1,high,"The word means 'high' or 'tall', and can also mean 'expensive' or 'elevated' depending on context.",このビルはとても高いです。,adjective
愛しあう,アイシアウ,itoshi,動詞-一般,1,to love each other,"Refers to mutual love or affection between two or more people, where the feeling is reciprocated.",彼らは愛しあっている。,verb
息,イキ,iki,名詞-普通名詞-一般,1,breath,"The act or process of inhaling and exhaling air to and from the lungs, also can mean a brief pause or rest.",彼は深く息を吸った。,noun
技,ワザ,waza,名詞-普通名詞-一般,1,technique,"The word '技' refers to a technique or skill, particularly in the context of martial arts, crafts, or technical abilities. It represents the method or way of performing something with expertise.",彼は新しい技を習得した。,noun-general
悌,テー,tei,名詞-普通名詞-一般,1,brotherhood,"The word '悌' (tei) refers to the concept of brotherhood, particularly the harmony and loyalty between younger brothers in a family. It is closely related to familial respect and understanding among siblings.",兄と弟の間には深い悌がある。,noun
捜し,サガシ,sagashi,動詞-一般,1,search,"To search for or look for something, especially with intent to find or locate it.",彼は鍵を捜し続けた。,verb
悲鳴,ヒメー,himei,名詞-普通名詞-一般,1,scream,"A loud, high-pitched sound of distress, fear, or excitement, often involuntarily made by a person or an animal.",恐ろしい音を聞いて、彼女は悲鳴を上げた。,noun
悪ぃ,ワリー,warui,形容詞-一般,1,bad,"The word '悪ぃ' is an informal or colloquial form of the adjective '悪い (warui)', typically used to mean 'bad' or 'poor in quality'. It can also imply being 'wrong', 'harmful', or 'unpleasant'.",すまん、今日の天気は悪ぃね。,adjective
複合,フクゴー,fukugou,名詞-普通名詞-サ変可能,1,compound,"In English, 'compound' can refer to a combination of two or more elements or entities, usually to form a new product or concept. It is often used in scientific contexts to refer to chemically combined elements, but can also be used in various fields to indicate a complex made of multiple parts.",その言語には多くの複合語があります。,noun
排除,ハイジョ,haijo,名詞-普通名詞-サ変可能,1,exclusion,"The act of removing or eliminating something or someone; exclusion or removal, often implying making way for something else.",彼らは不適切な発言を理由に彼をグループから排除した。,noun
提出,テーシュツ,teishutsu,名詞-普通名詞-サ変可能,1,submission,"The act of submitting or presenting something, such as a document or proposal, for consideration or judgment.",提出期限は来週の金曜日です。,noun
離さ,ハナサ,hanasa,動詞-一般,1,release,"To let go or release something that is being held, such as an object or a person. It can also imply not keeping something or someone close.",彼は手を離さなかった。,verb
頼む,タノム,tanomu,動詞-一般,1,request,"To ask someone to do something, to order or commission something, or to rely or depend on someone for a service or favor.",彼に仕事を頼む。,verb
智,チ,satoru,名詞-普通名詞-一般,1,wisdom,"Wisdom refers to the quality of having knowledge, experience, and good judgment. It is often used to describe someone who is insightful and wise.",彼は智を持っている人だ。,noun
時間,ジカン,jikan,名詞-普通名詞-助数詞可能,1,time,"A period during which events occur in succession, measurable according to a clock or calendar. It can also refer to the concept or perception of duration.",今の時間は何時ですか？,noun
早速,サッソク,sassoku,副詞,1,immediately,"The term '早速' translates to 'immediately' or 'at once', indicating that an action needs to be taken without delay or promptly. It suggests urgency in the action or response.",彼は早速その仕事に取り掛かった。,adverb
日,ヒ,nichi,名詞-普通名詞-副詞可能,1,day,"The word '日' refers to a 'day' or the solar day, which is the time it takes for the Earth to make one full rotation on its axis with respect to the Sun. It can also refer to the 'sun' in certain contexts.",今日はいい日です。,noun
方,カタ,hou,名詞-普通名詞-助数詞可能,1,direction/person,"The word '方' can be used to indicate direction, such as 'way' or 'side'. It can also refer to a person when used in polite or respectful contexts.",彼の話し方がとても丁寧です。 (His way of speaking is very polite.),noun
整っ,トトノッ,totonotsu,動詞-一般,1,arrange,To be organized or prepared; to be in a state of readiness or order. It can also mean to be regulated or aligned appropriately.,大会の準備が整った。,verb
数,スー,kazu,名詞-普通名詞-一般,1,number,"The word '数' (kazu) translates to 'number' in English. It refers to a numerical value or quantity, similar to how it is used in mathematics and everyday counting.",彼は数を数えるのが得意です。,noun
教えれ,オシエレ,oshie,動詞-一般,1,teach,The verb '教えれ' is a form of the verb '教える' which means to 'teach' or 'instruct'. It's in a conditional form suggesting 'if' or 'when' teaching or instructing happens.,先生は生徒に新しい数学の概念を教えれた。,verb
教え,オシエ,oshie,名詞-普通名詞-一般,1,teaching,"In English, the word '教え' refers to the act or process of imparting knowledge or skills. It can also mean a doctrine, lesson, or instruction that is taught to others.",彼の教えは常に心に残る。,noun - common noun - general
願っ,ネガッ,negatsu,動詞-非自立可能,1,wish,"To wish or hope for something. This verb form is used in a broader context, usually expressing a desire or hope for an event or outcome to occur.",私は幸せを願っています。,verb (non-independent)
恐ろしい,オソロシー,osoroshii,形容詞-一般,1,frightening,"The word '恐ろしい' means something that is terrifying, fearful, or dreadful. It conveys a sense of fear or horror.",彼は恐ろしい夢を見た。,adjective
救い,スクイ,sukui,名詞-普通名詞-一般,1,salvation,"The word '救い' refers to the act of saving or being saved from harm or distress. It can imply spiritual salvation, physical rescue, or relief from a troubling situation.",困っている人にとって、その手助けは大きな救いとなった。,noun - common noun - general
食っ,クッ,kutsutsu,動詞-一般,1,eat,An informal or colloquial form of the verb 'eat'. It's often used in casual conversations to mean consuming food or drink.,彼は昼ご飯を食っちゃった。,verb
操ら,アヤツラ,ayatsura,動詞-一般,1,operate,"The verb '操る' can mean to operate or manipulate something with skill and control, like operating machinery or controlling a puppet.",彼は人形を巧みに操った。,verb
撮る,トル,toru,動詞-一般,1,take,To take a photograph or to capture an image using a camera. It can also mean to record a video.,彼は森で美しい写真を撮ることが趣味です。,verb
食らえ,クラエ,kura,動詞-一般,1,Eat,"The verb '食らえ' is an imperative form of '食らう', typically used to instruct or command someone to eat something. It can also be used figuratively to mean to take or receive something, such as a blow or impact.",試合中に食らえ！,Verb
急い,イソイ,isoi,動詞-一般,1,hurry,To move or act with speed or urgency; to hasten or rush.,彼は急いで家を出た。,verb
子ども,コドモ,kodomo,名詞-普通名詞-一般,1,child,"A child or children, referring to a young person or persons, typically under the age of adolescence. It can also imply the concept of childhood or children in general.",子どもが公園で遊んでいます。,noun
嫌い,キライ,kirai,動詞-一般,1,hate,The word '嫌い' primarily means to hate or dislike something or someone. It expresses a strong aversion or antipathy.,彼はトマトが嫌いです。,verb
姉,アネ,ane,名詞-普通名詞-一般,1,sister,"The Japanese word '姉' refers to an 'older sister' or simply 'sister' in a familial context, specifically indicating a female sibling who is older than the speaker or subject of reference.",私は姉と一緒に住んでいます。,noun
奪う,ウバウ,ubau,動詞-一般,1,steal,"To take something away from someone without permission, often implying force or coercion. It can also mean to deprive someone of something, such as hope or opportunity.",彼は財布を奪うためにポケットに手を伸ばした。,verb
奇襲,キシュー,kishuu,名詞-普通名詞-サ変可能,1,surprise attack,A sudden and unexpected assault or military trick designed to catch the opponent off guard and achieve a strategic advantage.,敵の陣地に奇襲をかける計画が立てられた。,noun
天才,テンサイ,tensai,名詞-普通名詞-一般,1,genius,A person with exceptional intellectual or creative ability. It refers to someone who has extraordinary talent or skill in a particular field.,彼は若い頃から数学の天才として知られていた。,noun
大切,タイセツ,taisetsu,形状詞-一般,1,important,"The word '大切' (taisetsu) is used to describe something that is important, significant, or valuable. It is often used to convey emotional importance or priority.",このプロジェクトは私たちにとってとても大切です。,adjective
夢,ユメ,yume,名詞-普通名詞-一般,1,dream,"A dream refers to a series of thoughts, images, or emotions occurring during sleep. It can also denote an aspiration, ambition, or ideal.",彼は昨夜、面白い夢を見た。,noun
基本,キホン,kihon,名詞-普通名詞-一般,1,basis,"The word '基本' refers to the 'basis' or 'foundation' of something. It implies the essential elements or core, fundamental principles that something is built upon or derived from.",基本に忠実に行動することが大切です。,noun
ｼｬｯﾀｰ,ｼｬｯﾀｰ,shatta゜,名詞-普通名詞-一般,1,shutter,"A shutter is a mechanical device that opens and closes to expose or cover the aperture of a camera, controlling the amount of light entering. It is also a term used for protective covers for windows or doors.",カメラのシャッターを押すと、写真が撮れます。,noun
員,イン,in,接尾辞-名詞的-一般,1,member,"A suffix often used in Japanese to denote a member or an employee of an organization or group, such as 社員 (company employee) or 店員 (store clerk).",彼は会社の社員です。 (He is a company employee.),suffix noun
呼ん,ヨン,yon,動詞-一般,1,call,"To call or summon someone or something by shouting, speaking, or using a device. It can be used in various contexts such as making a phone call, calling out to a person, or naming someone.",私は友達を呼んでいます。,verb
怖い,コワイ,kowai,形容詞-一般,1,scary,"Fearful, frightening, or causing fear; can refer to something that induces fear or anxiety, such as a scary movie or a scary situation.",暗い森は少し怖いです。,adjective
忠,チュー,tadashi,名詞-普通名詞-一般,1,loyalty,"The word '忠' means loyalty or fidelity, often used to describe someone's faithful adherence to a duty, cause, or person.",彼は会社に対する忠を誓った。,noun - common noun - general
必ず,カナラズ,kanarazu,副詞,1,certainly,"Indicates certainty or inevitability; used to express that something will definitely happen, without exception.",彼は必ず来るでしょう。,adverb
最強,サイキョー,saikyou,名詞-普通名詞-一般,1,strongest,"The word ""最強"" means the strongest in terms of power, capability, or intensity. It can refer to the topmost strength or superiority in a particular field or situation.",彼は最強のチャンピオンです。,noun
心,シン,kokoro,接尾辞-名詞的-一般,1,heart,"In this context, '心' functions as a noun used as a suffix to imply a concept related to heart, mind, or spirit, indicating the core or essence of something.",彼は優しい心を持っている。,suffix-noun
御託,ゴタク,gotaku,名詞-普通名詞-一般,1,nonsense,"'御託' refers to exaggerated or pretentious talk or nonsense, often used to describe someone speaking in a roundabout way that lacks substance.",彼の話はいつも御託ばかりだ。,noun
後悔,コーカイ,koukai,名詞-普通名詞-サ変可能,1,regret,"Regret refers to the feeling of sadness, repentance, or disappointment over an event or decision.",彼はその決定を後悔している。,noun
５,５,5,名詞-数詞,1,five,"The number five represents the quantity numerically following four and preceding six, and is often used to denote this value in counting, measurement, and math operations.",今日は５つのりんごを買いました。,noun-numeral
強豪,キョーゴー,kyougou,名詞-普通名詞-一般,1,strong team,"An organization, group, or team that is highly skilled, competitive, and known for its strength or success in a particular field, often used in sports or competitive settings.",彼らは全国でも知られる強豪チームです。,noun
引っ掛かる,ヒッカカル,hikkaka,動詞-一般,1,get caught,"To become caught or stuck on something, to be ensnared or entangled in something, often used metaphorically or for physical objects.",そのシャツのボタンが引っ掛かった。,verb
帝,ミカド,mikado,名詞-普通名詞-一般,1,emperor,"The term 帝 refers to an emperor or a sovereign ruler, particularly in historical contexts relating to China or Japan. It can denote a supreme ruler with significant power and authority.",彼は強大な帝だった。,noun
小僧,コゾー,kozou,名詞-普通名詞-一般,1,boy,"A common noun referring to a young boy or youngster, typically used in a somewhat colloquial or familiar manner to refer to a kid or a young monk.",寺の小僧が掃除をしている。,noun
安い,ヤスイ,yasui,形容詞-一般,1,cheap,affordable or low in price; it can also imply a sense of inexpensive quality,この服はとても安いです。,adjective
書類,ショルイ,shorui,名詞-普通名詞-一般,1,document,"A piece of written, printed, or electronic matter that provides information or evidence.",彼は重要な書類を机に置いた。,noun
最後,サイゴ,saigo,名詞-普通名詞-一般,1,end,"The word '最後' translates to 'end' in English and refers to the last or final stage of something, the conclusion, or the ultimate result. It can also imply the ultimate or greatest degree of something.",彼は最後までがんばった。,noun
知り,シリ,shiri,動詞-一般,1,know,"The verb '知り' (shiri) is the continuative form of '知る' (shiru), which means 'to know' or 'to understand'. It implies having knowledge or being aware of something.",彼の住所を知りたい。,verb
立ち読み,タチヨミ,tachiyomi,名詞-普通名詞-サ変可能,1,Browsing,"The act of reading a book, magazine, or other publication while standing in a store, typically without purchasing it.",彼は本屋で立ち読みを続けました。,Noun
積み上げ,ツミアゲ,tsumiage,動詞-一般,1,build up,"To accumulate or amass something over time, often in layers or levels. This can refer to the physical piling up of objects or the gradual increase of non-tangible things such as skills or experience.",彼は長年かけてスキルを積み上げてきた。,verb
禁止,キンシ,kinshi,名詞-普通名詞-サ変可能,1,prohibition,"Prohibition refers to the act of formally disallowing or forbidding something through legal or authoritative measures. It can apply to various contexts, such as prohibiting certain actions, behaviors, or substances.",公園の立ち入りは禁止されています。,noun
確か,タシカ,tashika,副詞,1,surely,"This word can mean 'surely,' 'certainly,' or 'probably' in English. It is used to express a high degree of certainty or probability about a statement or an assumption.",彼は確かに来ると言った。,adverb
誇っ,ホコッ,hokotsu,動詞-一般,1,boast,To boast or brag about something; to take pride in or display with pride.,彼は成功を誇っている。,verb
破っ,ヤブッ,yabutsu,動詞-一般,1,tore,"A form of the verb 'to tear,' indicating the act of ripping or shredding something, typically used in past tense contexts where an object was torn.",彼は手紙を破った。,verb
研究,ケンキュー,kenkyuu,名詞-普通名詞-サ変可能,1,research,"Research refers to the systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions. In the context of Japanese, it can also mean studying or conducting an investigation into a subject, often related to scientific or academic pursuits.",彼は新しい薬の研究に取り組んでいます。,noun
知ったか,シッタカ,shitsu,名詞-普通名詞-一般,1,know-it-all,"A person who pretends to know everything or pretends to know more than they actually do. Often used to describe someone who acts as if they are very knowledgeable about a wide range of subjects, but in reality, they may not be.",彼はいつも知ったかぶりをしている。,noun
