surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence
も,モ,mo,助詞-係助詞,30,also,"The particle 'も' is used to indicate that the same thing as has been previously mentioned applies here as well. It can mean 'also', 'too', or 'as well'. It can be used to add to a list of things or show that something additional applies.",私はリンゴも食べます。
し,シ,shi,動詞-非自立可能,29,do,"The verb 'し' is a form of 'する', which means 'to do' or 'to perform'. It is often used in combination with other words to denote an action or process.",彼は宿題をしなければならない。
で,デ,de,助詞-格助詞,25,at,"Used to indicate the place where an action occurs, the method by which it is done, or the cause or means by which something happens. It can also denote time or a condition.",公園で遊ぶ。
って,ッテ,tte,助詞-副助詞,23,is called,"The particle 'って' is used colloquially as a way of emphasizing or quoting something, similar to saying 'is called' or 'is said to be'. It can be used to introduce topics or quotes within a sentence, and is often seen in informal spoken Japanese, sometimes replacing the particle 'と' in similar contexts.",彼女が言ってたって聞いたよ。
俺,オレ,ore,代名詞,22,I,A masculine pronoun used informally by males to refer to themselves. It is considered casual and can imply a sense of masculinity or peer-level familiarity.,俺は今日、仕事に行かない。
何,ナン,nani,代名詞,21,what,"The word '何' is a pronoun used in Japanese to ask questions regarding identity, nature, or value, usually translated as 'what.' It can be used in contexts asking for explanations or identifications.",それは何ですか？
な,ナ,na,助動詞,21,copula,"The auxiliary verb 'な' is used to express certainty, admiration, or agreement in Japanese. It is often used at the end of sentences for emphasis or as a way to seek agreement from the listener.",今日は天気がいいな。
ﾐｽﾞｷ,ﾐｽﾞｷ,mizuki,名詞-普通名詞-一般,20,Dogwood,"Dogwood, a type of flowering tree that is commonly found in temperate regions. Known for its beautiful blossoms in the spring and sometimes vibrant fall foliage.",春になると、庭のﾐｽﾞｷが美しく咲き誇ります。
お前,オマエ,o,代名詞,20,you,"A casual or informal way of saying 'you', often used among friends or in settings where a higher level of familiarity and informality is acceptable.",お前は今日何をするつもりだ？
イルカ,イルカ,iruka,名詞-普通名詞-一般,18,dolphin,"A dolphin, a marine mammal known for its intelligence and playful nature, typically found in warm sea waters.",水族館でイルカのショーを見ました。
ば,バ,ba,助詞-接続助詞,17,if,"The word 'ば' is a conjunction used in Japanese to indicate conditional situations, similar to saying 'if' in English. It is used to express that if X happens, then Y will follow.",雨が降れば、試合は中止となります。
じゃ,ジャ,ja,助動詞,17,then,"In Japanese, ""じゃ"" is a contracted form of ""では"" which is often used in casual conversation. It can be used to mean 'then', 'well then', or 'in that case'. It is typically used to indicate a conclusion or decision, often at the beginning of a sentence to transition or move the conversation forward.",じゃ、行こうか。
火影,ホカゲ,hokage,名詞-普通名詞-一般,16,Hokage,Hokage is a title given to the leader of the village in the fictional world of Naruto. It literally means 'Fire Shadow' and represents one of the highest honors bestowed upon a ninja within the series.,ナルトは第七代火影として村を守っている。 (Naruto wa daishichidai hokage toshite mura o mamotte iru.)
な,ナ,na,助詞-終助詞,16,isn't it?,"used at the end of a sentence to seek confirmation or agreement, similar to 'isn't it?' or 'right?' in English.",今日はいい天気だな。
こと,コト,koto,名詞-普通名詞-一般,15,thing,"Refers to an abstract thing, event, matter, or concept; often used to express situations, facts, or experiences in general.",毎日のことだから慣れています。
術,ジュツ,jutsu,名詞-普通名詞-一般,15,technique,"The word '術' (じゅつ, jutsu) in Japanese commonly translates to 'technique' or 'art'. It is often used to refer to a specific skill set, method, or proficiency in a particular area. The term can encompass both physical techniques, like those used in martial arts, and intellectual or creative skills.",彼は武道の術に長けている。
と,ト,to,助詞-格助詞,14,and,"Used to connect words or phrases, it often means 'and' or 'with,' indicating a relationship or connection between two or more items.",母と一緒に買い物に行く。
先生,センセー,sensei,名詞-普通名詞-一般,13,teacher,"A person who instructs others, especially in a school context; can also mean doctor or master depending on context.",先生は生徒に数学を教えています。
か,カ,ka,助詞-終助詞,13,question marker,The word 'か' is a Japanese particle commonly used at the end of sentences to turn statements into questions or to express wonder and doubt.,これは本当なのか。
これ,コレ,kore,代名詞,12,this,"Used to refer to something that is near the speaker, in contrast to 'that', which refers to something further away.",これは私の本です。
里,サト,sato,名詞-普通名詞-一般,12,village,A '里' primarily refers to a traditional Japanese unit of area or a rural village. It is often used to denote a small settlement or countryside community.,彼は小さな里で育ちました。
巻物,マキモノ,makimono,名詞-普通名詞-一般,12,scroll,"A scroll is a roll of parchment or paper, typically used in historical or religious contexts as a book, document, or artwork. It is often associated with ancient scripts, texts, or illustrations.",彼は古い巻物を発見した。
ハァ,ハー,haa,感動詞-一般,11,sigh,"This is an interjection in Japanese that is used to express a sigh or a feeling of relief, exhaustion, or disappointment.",彼は試験に合格して、ハァと大きなため息をついた。
それ,ソレ,sore,代名詞,11,that,"Refers to something that is either already mentioned or known within the context. It can also imply an object, situation, or idea that is distant from the speaker.",それは素晴らしいアイディアです。
ない,ナイ,nai,形容詞-非自立可能,11,not,"A negative adjective, used to indicate the absence or non-existence of something; often used to negate verbs in Japanese.",それはあまりおもしろくない。
する,スル,suru,動詞-非自立可能,11,to do,"The verb 'する' is an auxiliary verb in Japanese, often used to indicate an action or task being performed. It translates to 'to do' or 'to make' in English and is used widely across different contexts to describe an activity or state of being.",私は毎日運動をする。
忍,オシ,nin,名詞-固有名詞-地名-一般,10,Nin,"Nin is a proper noun used as a place name, possibly referring to a specific location such as a town or noteworthy geographical area.",忍は美しい自然に囲まれた町です。
その,ソノ,sono,連体詞,10,that,Used to refer to a specific noun mentioned previously or is already understood from context.,その本は面白い。
やっ,ヤッ,yatsu,動詞-非自立可能,10,do,"The verb 'やっ' is an informal and colloquial form of the verb 'やる', which means 'to do' or 'to perform'. It is often used in casual conversations and can imply taking action or executing a task.",明日一緒にやっちゃおう。
認め,ミトメ,mitome,動詞-一般,9,admit,"To recognize or acknowledge something as true or valid; can also mean to approve, accept, or allow.",彼は自分の間違いを認めた。
ミズキ,ミズキ,mizuki,名詞-普通名詞-一般,9,Dogwood,"Refers specifically to the Cornus genus, a group of flowering plants commonly known as dogwood, which are native to temperate and warm temperate regions of the world.",公園にはミズキの木がたくさん咲いています。
封印,フーイン,fuuin,名詞-普通名詞-サ変可能,9,seal,"A seal or sealing, often used to describe something that is enclosed to protect or preserve, or to restrict access, such as in a document or magical context.",古代の遺跡には強力な封印が施されている。
か,カ,ka,助詞-副助詞,9,or,"The particle 'か' is used to indicate a choice or alternative, similar to 'or' in English. It is often used in questions or when listing options.",今日は寿司かラーメンを食べたい。
の,ノ,no,助詞-準体助詞,9,of,"The particle ""の"" is used in Japanese to show possession, attribution, or a relation between nouns. It is similar to 'of' in English, but it can also indicate a more general connection or description.",私は日本語の勉強をしています。
この,コノ,kono,連体詞,9,this,"Used to specify something close to the speaker in terms of space, time, or context.",この本は面白いです。
卒業,ソツギョー,sotsugyou,名詞-普通名詞-サ変可能,9,graduation,"The word '卒業' refers to the completion of an educational course or program, typically resulting in receiving a diploma or degree. It can also be used to signify moving on or completing a stage in life.",彼女は来週大学を卒業します。
さ,サ,sa,助詞-終助詞,8,emphasis,The term 'さ' is a final particle in Japanese used for emphasis or to convey assurance or mild assertion at the end of a sentence. It does not have a direct English equivalent but can be compared to adding tone like 'you know' in English.,今日は楽しかったさ。
様,サマ,sama,接尾辞-名詞的-一般,8,Mr./Mrs.,"A polite suffix used after a person's name for respect, similar to Mr., Mrs., or Ms. in English.",田中様によろしくお伝えください。
あの,アノ,ano,感動詞-フィラー,8,um,'Ano' is a filler word often used in Japanese conversation to indicate hesitation or to gain time to think. It is similar to the English 'um' or 'uh'.,あの、お名前は何ですか？
１,１,1,名詞-数詞,8,one,"The numeral 'one' is used to indicate a single unit or the number 1, representing the beginning of the counting sequence in numeration, or a single instance of something.",彼は１度もミスをしませんでした。
て,テ,te,助動詞,8,and then,"The Japanese word て (te) is a conjunctive form used as a conjunction to connect clauses, indicating actions occurring in sequence or indicating cause and effect. It's commonly used in compound sentences.",私は手を洗って、食事をします。
から,カラ,kara,助詞-接続助詞,8,because,"Indicates a reason or cause for something, similar to 'because' or 'since' in English. It is used to connect clauses and explain why something happens or is the way it is.",今日は雨だから、外に行きません。
れ,レ,re,助動詞,7,passive,The word れ is an auxiliary verb in Japanese that is used to form the passive voice. It is often attached to the stem of verbs and indicates that the subject is receiving the action of the verb rather than performing it.,彼は友達にからかわれた。
ん,ン,n,助動詞,7,not,"An auxiliary verb often used to indicate negation, commonly found in informal speech.",行かないんだ。
やる,ヤル,yaru,動詞-非自立可能,7,do,"The verb 'やる' can mean 'to do' or 'to perform' a task or action. It can also be used in various other contexts to mean 'to give', 'to send', or 'to conduct', serving as a versatile auxiliary verb in Japanese.",毎朝、ジョギングをやっています。
人,ヒト,nin,名詞-普通名詞-一般,7,Person,Refers to a human being regarded as an individual. It can also imply a sense of humanity or a collective group of people depending on context.,彼は親切な人です。
分身,ブンシン,bunshin,名詞-普通名詞-一般,7,double,"A 'double' can refer to a physical or spiritual copy, doppelgänger, or figure that represents someone else.",彼は分身の術を使って敵を欺いた。
まで,マデ,made,助詞-副助詞,7,until,"Used to indicate a limit or extent of time or distance, 'まで' translates to 'until' or 'up to' in English. It expresses the point at which a certain state continues or a certain action occurs.",学校は午後3時までです。
ばか,バカ,baka,名詞-普通名詞-形状詞可能,7,fool,"""Baka"" often translates to ""fool"" or ""idiot"" in English and is used to describe someone who is perceived as stupid or lacking intelligence. It can also be used lightheartedly among friends as teasing, though it can be offensive if used in a derogatory manner.",彼はいつもばかみたいなことを言う。
ぎつね,ギツネ,gitsune,名詞-普通名詞-一般,7,fox,"The word 'ぎつね' refers to a fox, a small to medium-sized omnivorous mammal belonging to several genera of the family Canidae. It is known for its cunning nature and bushy tail.",山の中にぎつねがいた。
に,ニ,ni,助動詞,7,to,"Used to indicate a direction or purpose for an action, often translating to 'to' or 'towards' in English. It can also express time, location, or recipient of an action.",にほんごを習いに行きます。
者,モノ,mono,名詞-普通名詞-一般,7,person,"This word refers to an individual, somebody, or someone and is often used to denote a person in a general sense. It can also be used to refer to a particular type of person in compounds, such as 'readers' or 'doers'.",彼は優れた者だ。
から,カラ,kara,助詞-格助詞,7,from,"The word から is a particle indicating starting point or origin. It can mean 'from' when used to show where something originates or begins, such as in time and location contexts.",学校から帰ります。
化け,バケ,bake,名詞-普通名詞-一般,7,transformation,"The word '化け' refers to a transformation or change in form, often into something supernatural or magical. It can imply a disguise or metamorphosis, sometimes associated with mythical creatures in Japanese folklore.",あの動物は夜になると化けると言われている。
お,オ,o,接頭辞,7,honorific form,"The prefix 'o' is used in Japanese as an honorific, often implying respect or politeness. It is commonly added before nouns and verbs to make them more polite or formal.",お茶をどうぞ。
どう,ドー,dou,副詞,7,how,"The word 'どう' translates to 'how' in English. It is an adverb used to inquire about the manner, condition, or degree of something.",昨日の映画はどうでしたか？
です,デス,desu,助動詞,7,is,"'Desu' is a copula used in Japanese to express being or existence. It is similar to 'is', 'am', or 'are' in English and is used to connect subjects with predicates.",これはペンです。
あいつ,アイツ,aitsu,代名詞,6,he/she/that guy,"Refers to 'he', 'she', 'that guy', 'that person' or 'that fellow', often used informally and sometimes with a sense of familiarity or mild contempt.",あいつはいつも遅刻する。
で,デ,de,助動詞,6,be,"The word 'で' is used as an auxiliary verb to indicate a state of being, existence, or equivalence. It is also used to connect nouns to describe a cause/reason, means, or location in which an action occurs.",彼は医者で、優しい人です。
い,イ,i,動詞-非自立可能,6,be,"This is a form of the verb 'to be' which is often used in compound forms in Japanese to indicate existence or state, similar to 'is'/'are'. It can be used as an auxiliary verb in various grammatical constructs.",彼はいない。
ぞ,ゾ,zo,助詞-終助詞,6,emphasis,'ぞ' is a sentence-ending particle used in Japanese to add emphasis or assertiveness. It is often used by men and can convey confidence or strong statement.,今日はいい天気だぞ。
が,ガ,ga,助詞-接続助詞,6,but,"In this context, 'が' is used as a conjunction meaning 'but' or 'however', indicating a contrast or a connection between two clauses.",彼は勉強したが、試験に合格できなかった。
てる,テル,teru,助動詞,6,be doing,"The auxiliary verb 'てる' is a colloquial contraction of 'ている', used in Japanese to indicate a continuous or progressive action, similar to 'am/are/is doing' in English.",彼は勉強してる。
猿飛,サルトビ,sarutobi,名詞-固有名詞-人名-姓,6,Sarutobi,"Sarutobi is a Japanese surname, literally translating to ""flying monkey."" It is often associated with historical or fictional ninja characters in Japanese culture.",猿飛佐助は有名な忍者です。
女性,ジョセー,josei,名詞-普通名詞-一般,6,woman,"The word '女性' refers to a female person, encompassing adult women. It is a general noun used to describe women, highlighting gender as opposed to males.",彼女は優秀な女性です。
忍,シノブ,nin,名詞-固有名詞-人名-名,6,Shinobu,"A given name, often used for both males and females in Japan. The name can carry meanings of endurance or stealth, but in this context, it's primarily a personal name.",忍は日本でよく使われる名前です。
代,ダイ,dai,名詞-普通名詞-助数詞可能,5,generation,"The term ""代"" can refer to a generation, implying a group of people born and living around the same time, or a period of time representing the length of a generation. It can also be used as a counter for generations, or denote substitution and representation in some contexts.",彼は三代目の店主です。
いる,イル,iru,動詞-非自立可能,5,to be,"The verb 'いる' is used in Japanese to indicate the presence of animate objects, such as people or animals. It implies existence or being present at a particular location or state. It is also used as an auxiliary verb.",彼は部屋にいる。
ねえ,ネー,nee,助動詞,5,isn't it,"Used as a colloquial particle to confirm something with the listener, often translated as 'isn't it', 'right?', or 'eh'. It adds a sense of seeking agreement or softening a statement.",今日は暑いねえ。
ねえ,ネー,nee,形容詞-非自立可能,5,hey,"This word is often used as an interjection to get someone's attention or to confirm agreement or understanding, similar to 'hey,' 'right?' or 'isn't it?' in English.",ねえ、昨日の映画見た？
２,２,2,名詞-数詞,5,two,"The number following one and preceding three; often used to quantify items, indicate order, or describe pairs.",彼には２つの兄がいます。
なる,ナル,naru,動詞-非自立可能,5,become,The verb 'なる' means 'to become' or 'to turn into'. It indicates a change of state or condition.,春になると桜が咲きます。
なっ,ナッ,natsu,動詞-非自立可能,5,become,"The word 'なっ' is a form of the verb 'なる', which means 'to become'. It is often used in compound verbs or phrases to express a transition or change of state.",春になって、桜が咲いた。
一,イチ,ichi,名詞-数詞,5,one,"The word '一' translates to 'one' in English and is used as a numeral. It signifies the number one as in the first in a series, or as a whole, single entity.",私の家には一羽のカナリアがいます。
で,デ,de,助詞-接続助詞,5,with,"The particle 'で' is used to indicate the means or method by which an action is performed, equivalent to 'by', 'with', or 'using' in English. It can also describe the location where an action takes place, similar to 'at' or 'in'. Moreover, it functions as a conjunctive particle to connect clauses indicating cause or reason, akin to 'because' or 'since'.",彼は車で学校に行きます。
チクショ,チクショ,chikusho,名詞-普通名詞-一般,5,damn,"""Chikushou"" is a Japanese word often used as an expletive to express anger or frustration, similar to 'damn' or 'dammit' in English.",彼はミスをして「チクショ」と叫んだ。
いい,イー,ii,形容詞-非自立可能,5,good,"'いい' is an adjective that means 'good' or 'nice' in English. It can describe quality, aesthetic pleasure, approval, or suitability for a certain purpose.",この映画はとてもいいです。
目,メ,me,接尾辞-名詞的-一般,5,eye,"""目"" can mean 'eye,' 'vision,' or 'perception,' and is often used as a suffix to denote order or series, like 'first' (一番目), or 'second' (二番目). It is a versatile term used both in a literal and figurative sense.",彼は三番目の兄弟です。
だけ,ダケ,dake,助詞-副助詞,5,only,"The Japanese particle ""だけ"" is used to indicate a limitation or restriction, translating to ""only,"" ""just,"" or ""as much as"" in English. It often emphasizes that no more than what is specified should be considered.",彼はそれを一度だけ見た。
書,ショ,kaki,名詞-普通名詞-一般,5,book,"The word '書' generally means 'book' in English, referring to a written or printed work consisting of pages glued or sewn together along one side and bound in covers. It can also refer to writings or documents more broadly.",彼は毎晩寝る前に書を読む。
ある,アル,aru,動詞-非自立可能,5,to be,'ある' is a non-independent auxiliary verb that indicates the existence of inanimate objects or states. It is used to express the existence or presence of something in a certain location.,机の上に本がある。
さ,サ,sa,動詞-非自立可能,5,do,"The verb 'さ' is often used in combination with other verbs, providing an auxiliary function similar to ‘do’ in English. It is not commonly used on its own but serves as a conversational filler or casual expression in informal speech.",そんなこと言われても、さあどうすればいいんだろう。
ない,ナイ,nai,助動詞,5,not,Used to express negation or the absence of something. It is an auxiliary verb used to negate verbs in Japanese.,彼はそれを持っていない。
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,5,guy,"A colloquial term for a person, often used to refer to a man, fellow, or individual in an informal context.",あいつはいいヤツだ。
子,コ,ko,名詞-普通名詞-一般,4,child,A child or an offspring; it can also refer to a young person or someone's son or daughter.,彼女は二人の子供の母親です。
なぁ,ナー,naa,助詞-終助詞,4,isn't it,"An ending particle used to express agreement, seek confirmation or emphasize emotion in a casual or friendly manner. It can be similar to 'isn't it,' 'right?' or 'you know?' in English.",今日は暑いなぁ。
そんな,ソンナ,sonna,連体詞,4,such,"'そんな' is an adnominal word used in Japanese to describe something of a similar sort or type. It can mean 'such a', 'like that', or 'that kind of'. It is used to modify nouns and gives a sense of pointing out a specific or distinguished feature, often in a demonstrative or informative context.",そんな話を信じてはいけない。
誰,ダレ,dare,代名詞,4,who,"The word '誰' is a pronoun used in Japanese to ask about the identity or name of a person. It translates to 'who' in English, used to inquire or question about a person or someone's identity.",彼は誰ですか？
たら,タラ,tara,助動詞,4,if,"'たら' is used to express a conditional 'if' in Japanese. It indicates that an action or state in the main clause will occur or be realized, provided the condition in the subordinate clause is fulfilled.",雨が降ったら、家にいます。
君,クン,kun,接尾辞-名詞的-一般,4,Mr.,"A suffix used after a person's name, usually for young boys or people of lower rank. It can denote familiarity or endearment.",田中君は今日も元気だ。
おきて,オキテ,okite,名詞-普通名詞-一般,4,law,"The term 'おきて' refers to a law, rule, commandment, or code within a certain context. It signifies an established regulation or ordinance that one is expected to follow.",彼らは村の古いおきてを守っていた。
そう,ソー,sou,副詞,4,so,"The word 'そう' is an adverb used to express agreement or affirmation, similar to saying 'yes', 'that's right', or 'so' in English. It can also mean 'in that manner' or 'like that'.",彼はそう言いました。
たち,タチ,tachi,接尾辞-名詞的-一般,4,plural suffix,"The suffix 'たち' is used in Japanese to indicate the plural form of nouns or pronouns, often used for groups of people or things, suggesting more than one.",私たちは学校に行きます。
あ,ア,a,感動詞-一般,4,Ah,"An expression of surprise, realization or admiration. It is often used to begin a sentence when something unexpected is noted, or when understanding dawns.",あ、いいアイデアがある！
もの,モノ,mono,名詞-普通名詞-サ変可能,4,thing,A tangible object that can be perceived by the senses or an abstract concept like an idea or situation.,これは私のものです。
あの,アノ,ano,連体詞,4,that,"""Ano"" is used in Japanese to indicate a specific object, person, or concept which is either distant from both the speaker and the listener or unknown to both. It can be translated as ""that"" when referring to something away from both the speaker and listener.",あの店は閉まっています。
みんな,ミンナ,minna,名詞-普通名詞-副詞可能,4,everyone,"This term often means 'everyone' or 'everybody'. It can also be used to denote all members of a group collectively, and can function as an adverb meaning 'all together' or 'in total'.",みんなで公園に行きました。
親,オヤ,oya,名詞-普通名詞-一般,4,parent,Refers to one's father or mother and can also represent figurative meanings like a person or thing that brings forth or nurtures something.,彼の親はとても優しい人です。
まだ,マダ,mada,副詞,4,still,The word 'まだ' is used to indicate that something is still ongoing or that a situation has not changed or concluded yet. It often conveys the continuance of a state or action.,雨がまだ降っています。
だろ,ダロ,daro,助動詞,4,will,"The term 'だろ' is often used as an auxiliary verb in Japanese to predict or assume something, similar to the English word 'will' as in 'it likely will be'. It is often used to express the speaker's expectation or assumption about something that is about to happen or is likely to be true.",明日は晴れるだろ。
３,３,3,名詞-数詞,3,three,"Represents the number 3, which is an integer that comes after two and before four.",私は３つの本を持っています。
し,シ,shi,助詞-接続助詞,3,and,"A conjunction used to connect clauses, often translated as 'and' or 'because', depending on context.",彼は美味しいご飯を食べ、し、眠った。
野郎,ヤロー,yarou,名詞-普通名詞-一般,3,guy,"A colloquial term in Japanese often used to refer to a guy, fellow, or chap. It can carry a derogatory or informal connotation depending on the context and tone in which it is used.",あいつは本当にひどい野郎だ。
さ,サ,sa,接尾辞-名詞的-一般,3,ness,"It is a suffix used in Japanese to indicate a state, manner, or degree, similar to the English '-ness' or '-ity'.",その勇くんの勇敢さがみんなを鼓舞した。
ﾄﾋﾞｵ,ﾄﾋﾞｵ,tobio,名詞-普通名詞-一般,3,Tobio,Tobio is a given name in Japanese. It does not have a direct translation and is typically used as a proper name for individuals.,ﾄﾋﾞｵは学校で勉強しています。
ず,ズ,zu,助動詞,3,not,"Used to indicate negation in classical Japanese. It is an auxiliary verb that inflects to express negative verbs, often seen in written texts and idiomatic expressions.",彼は勉強せずに遊んでばかりいる。
ずっと,ズット,zutto,副詞,3,continuously,"The adverb ""ずっと"" is used to describe an action or state that continues without interruption over an extended time period or across a sequence of events. This can convey a sense of permanence or an uninterrupted progression.",彼はずっと走り続けていた。
だっ,ダッ,datsu,助動詞,3,was,A form of the auxiliary verb 'da' used to indicate past tense or assertiveness in informal speech. It often conveys a sense of completion or confirmation.,昨日、雨が降ったんだっ。
こら,コラ,kora,感動詞-一般,3,Hey!,"An expression used to call attention, or express disbelief or reprimand, similar to 'Hey!' or 'Hey there!' in English. Often used to scold someone.",こら! ここで遊んじゃダメ!
せ,セ,se,助動詞,3,do not,"An auxiliary verb used to indicate prohibition or restriction, oftentimes seen in negative commands or requests not to perform an action.",遊ぶなせ。
ん,ン,n,感動詞-フィラー,3,Hmm,"An interjection used as a filler in conversation, expressing hesitation, thinking, or contemplation, similar to 'uh' or 'um' in English.",あのー、ん、どうしようか？
ちゃん,チャン,chan,接尾辞-名詞的-一般,3,suffix for children,"A suffix used after a child's given name, typically friendly and informal. It is often used to refer to girls, young children, or pets, and conveys a sense of closeness and affection.",さくらちゃんは学校に行きます。
気,キ,ki,名詞-普通名詞-一般,3,spirit,"'Ki' refers to one's spirit, energy, or mood. It is a fundamental concept in Japanese culture often associated with one's mental or emotional state, vitality, or atmosphere.",彼はいつも元気です。
れる,レル,reru,助動詞,3,be able to,"This auxiliary verb is used in Japanese to express the passive or potential form of a verb, or to show an action is done to the subject (passive). It can also imply the ability to do something (potential).",彼は泳げるようになった。
ダメ,ダメ,dame,名詞-普通名詞-形状詞可能,3,no good,"""ダメ"" is a noun that refers to something that is 'no good', 'useless', or 'not allowed'. It can express a sense of impossibility, prohibition, or dismissal of quality.",このテレビはもうダメになった。
よし,ヨシ,yoshi,名詞-普通名詞-一般,3,reed,Yoshi refers to a type of reed or grass typically found growing near water. It can also symbolize good or virtue.,公園の池にはよしがたくさん生えていた。
よく,ヨク,yoku,副詞,3,well,"""Yoku"" is an adverb in Japanese that often means ""well"" or ""frequently."" It can be used to describe doing something in a skilled or satisfactory manner, or to indicate habitual action, such as doing something often or repeatedly.",彼はよく勉強する。
フン,フン,fun,名詞-普通名詞-一般,3,poop,"A common noun that refers to feces or excrement, often used informally and may appear in casual contexts.",犬が庭にフンをした。
もう,モー,mou,副詞,3,already,"""もう"" is an adverb that commonly means 'already' in the context of something that has already happened or is completed. It can also indicate that something is 'soon' to happen or is 'no longer' happening in certain expressions.",もう終わったの？
ラーメン,ラーメン,raamen,名詞-普通名詞-一般,3,ramen,"Ramen is a Japanese noodle dish consisting typically of Chinese-style wheat noodles served in a meat broth. It can be flavored with soy sauce or miso, and toppings vary widely, including sliced pork, nori, and scallions.",昨日の晩ご飯にラーメンを食べました。
両親,リョーシン,ryoushin,名詞-普通名詞-一般,3,parents,"Refers to one's mother and father collectively. It denotes both parents together, rather than individually.",私の両親は旅行が好きです。
はい,ハイ,hai,感動詞-一般,3,yes,"An affirmative response used in conversation to acknowledge, agree, or confirm something. It can also be used as a polite way to show attentiveness.",質問がありますか？はい、あります。
人,ニン,nin,接尾辞-名詞的-一般,3,person,"Used as a suffix to denote a person or people of a certain occupation, nationality, or characteristic. It modifies nouns to indicate someone who belongs to or is associated with something.",彼は日本人です。
優秀,ユーシュー,yuushuu,形状詞-一般,3,excellent,"The word '優秀' refers to something outstanding or excellent in quality. It is used to describe something or someone that exceeds standard expectations, possessing qualities of high achievement or performance.",彼は優秀な学生です。
分かっ,ワカッ,waka,動詞-一般,3,understand,A verb meaning to comprehend or grasp the meaning of something. It can also imply realizing or recognizing an idea or fact.,彼はその話が分かった。
力,チカラ,chikara,名詞-普通名詞-一般,3,power,The ability or capacity to do something or act in a particular way; strength or force exerted or capable of being exerted.,彼は若い頃から非常に強い力を持っていた。
合格,ゴーカク,goukaku,名詞-普通名詞-サ変可能,3,pass,The term '合格' refers to the act of passing an examination or a test. It can also imply meeting a required standard or being accepted into a program or institution.,彼は大学の入学試験に合格した。
同じ,オナジ,onaji,形状詞-一般,3,same,"Having no difference, being identical or equal in some aspect or attribute.",彼らは同じ服を着ている。
わ,ワ,wa,助詞-終助詞,3,emphasis particle,"An ending particle used mainly in informal speech to add emphasis or emotion, often used by females.",今日はいい天気だわ。
でき,デキ,deki,動詞-非自立可能,3,can,"Indicates the potential to do something, the possibility or ability of executing an action. Commonly used in expressions to signify capability or accomplishment.",彼は上手に日本語を話すことができる。
変化,ヘンカ,henka,名詞-普通名詞-サ変可能,3,change,"A modification or alteration in form, nature, or state. Can refer to a transformation or the process of becoming different.",気候の変化は、環境に大きな影響を与えます。
大変,タイヘン,taihen,形状詞-一般,3,very,Indicating something is extremely or significantly severe or serious.,これは大変な問題です。
影,カゲ,kage,名詞-普通名詞-一般,3,shadow,"A shadow is a dark shape cast on a surface when an object blocks light. It can also refer to the concept of a shadow in a metaphorical sense, indicating presence or influence.",木の下に影ができている。
