surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
戻る,モドル,modoru,動詞-一般,2,return,"To go back to a previous place or condition, to return or revert.",彼は学校から家に戻る。,verb
準備,ジュンビ,junbi,名詞-普通名詞-サ変可能,2,preparation,"Preparation refers to the act of getting ready, planning or arranging something beforehand. It can also imply making arrangements or setting things up in advance for specific purposes or events.",イベントの準備を始めた。,"noun - common noun, potential suru-verb"
んて,ンテ,nte,接続詞,2,and,"A colloquial form often used to mean 'and' or 'so'. It is sometimes used for emphasis or to express frustration. In casual spoken Japanese, it is used to connect ideas or actions, similar to 'and then' or 'so'.",いや、それは無理なんて、どうして？,conjunction
危ねぇ,アブネー,abune,形容詞-一般,2,dangerous,"The word '危ねぇ' (abunee) is a colloquial or informal version of '危ない' (abunai), which means 'dangerous,' 'risky,' or 'hazardous.' It is often used to describe situations that pose a risk or could lead to harm.",その崖は危ねぇぞ。,adjective
並み,ナミ,nami,接尾辞-名詞的-一般,2,similar to,"A suffix used to indicate comparison, meaning 'on the same level as' or 'similar to', often implying a standard or average level.",彼はプロ並みの技術を持っています。,suffix
食べよう,タベヨー,tabe,動詞-一般,2,let's eat,"The verb '食べよう' is the volitional form of '食べる' which means 'to eat'. In this form, it implies a suggestion or invitation to eat, akin to 'let's eat' or 'shall we eat' in English.",夕食を食べよう。,verb - general
く,ク,ku,記号-一般,2,ku,This character 'く' is often used as a symbolic representation in a variety of contexts. It can resemble a diacritical mark or symbol in art or design without a specific standalone meaning in English. It is represented in Kana writing form and may be used to denote sounds or parts of a word in Japanese text.,この文で「く」を記号として使います。,symbol-general
メルヘン,メルヘン,meruhen,名詞-普通名詞-一般,2,fairy tale,"Originally derived from the German word 'Märchen,' it refers to a fairy tale or folktale often characterized by elements of fantasy and magic, typically written for children.",彼女は子供にメルヘンを読んで聞かせた。,noun
事故,ジコ,jiko,名詞-普通名詞-一般,2,accident,"Accident refers to an unexpected and unplanned event that results in harm or damage, often used in contexts like traffic accidents or mishaps.",その事故は高速道路で起こりました。,noun
上忍,ジョーニン,jounin,名詞-普通名詞-一般,2,elite ninja,"A high-ranking or elite ninja within a ninja organization, often tasked with leading missions and considered to have advanced skills and experience.",彼は村の中で最も信頼されている上忍です。,noun
足,アシ,ashi,名詞-普通名詞-一般,2,foot,"In Japanese, '足' can mean 'foot' or 'leg' as in the limb or appendage of a human or animal. It can also refer to a measure of speed or pace, or even convey sufficiency or addition depending on context.",彼は速い足を持っています。 (He has fast feet.),noun
ﾁｮｳｼﾞ,ﾁｮｳｼﾞ,chouji,名詞-普通名詞-一般,2,nail,"In English, '釘' (usually read as 'くぎ' but here written in katakana, チョウジ) can refer to a small metal instrument that's used to hold things together, typically by hammering it into a surface.",大工は壁に釘を打ちました。,noun-common-generic
入っ,ハイッ,itsutsu,動詞-一般,2,enter,Refers to the action of going into or becoming a part of something. Can be used in various contexts such as entering a room or joining a group.,部屋に入ってください。,verb
均等,キントー,kintou,名詞-普通名詞-形状詞可能,2,equality,A state of being equal; uniformity or even distribution. Can refer to equal parts or equal treatment.,収入を均等に分配する。,noun
分け,ワケ,wake,名詞-普通名詞-助数詞可能,1,division,"The word '分け' translates to 'division' or 'categorization'. It conveys the process of dividing or segregating into parts or categories. It can refer to physical division, such as splitting an object, or conceptual division, like categorizing ideas.",利益を公平に分ける。,noun
出かけ,デカケ,deka,動詞-一般,1,go out,"To leave or depart from a place for a particular purpose, such as going out for shopping, to meet someone, or for leisure activities.",友達と出かける予定です。,verb
愛,アイ,ai,名詞-普通名詞-一般,1,love,"A feeling of deep affection towards someone or something, which can encompass romantic, familial, or platonic emotions. It is often considered a fundamental emotion driving human connections.",彼女は彼に対する愛を隠すことができなかった。,noun
春野,ハルノ,haruno,名詞-固有名詞-地名-一般,1,Haruno,"Haruno is a proper noun used to refer to specific geographic locations or areas, such as towns, villages, or districts named Haruno.",私は春野に行ったことがあります。,Noun - Proper noun - Place name - General
入ん,ハイン,hain,動詞-一般,1,enter,This verb means 'to enter' or 'to go in.' It is often used in the context of entering a place or a group.,部屋に入ん。,verb
新米,シンマイ,shinmai,名詞-普通名詞-一般,1,new rice,"""新米"" refers to newly harvested rice that is fresher and often more flavorful than older stock. It can also be used metaphorically to describe someone who is new at a job or in a role, akin to a 'novice' or 'beginner.'",今年は新米の収穫が豊かだった。,noun
八,ハチ,hachi,名詞-数詞,1,eight,The word '八' is a numeral in Japanese that translates to 'eight' in English. It is used to denote the number 8 and is common in both written and spoken language contexts.,私は八時に起きました。 (I woke up at eight o'clock.),noun-numeral
成績,セーセキ,seiseki,名詞-普通名詞-一般,1,grades,"The term 成績 refers to the evaluation or score received in academic or other accomplishments, often represented by grades or marks.",彼の成績はとても良いです。,noun
扱い,アツカイ,atsukai,名詞-普通名詞-一般,1,treatment,"The word '扱い' refers to the manner in which someone or something is dealt with or handled. It can imply treatment, management, or handling of a situation, person, or object.",彼の扱いは慎重です。,noun
八苦,ハック,hakku,名詞-普通名詞-一般,1,Eight Sufferings,"The term '八苦' (Hakku) refers to the 'Eight Sufferings' in Buddhism, which describe the fundamental forms of human suffering. These include birth, aging, illness, death, separation from loved ones, meeting with the undesired, not getting what one wants, and the five skandhas (aggregates) that constitute one's physical and mental existence.",人生には八苦があると言われています。,noun
承知,ショーチ,shouchi,名詞-普通名詞-サ変可能,1,consent,"Consent or acknowledgment, often used to indicate understanding or agreement with what someone else has said or requested.",彼の提案に承知しました。,noun
日向,ヒナタ,hyuuga,名詞-普通名詞-一般,1,sunny place,"A sunny place, an area that receives direct sunlight, typically an open space or a spot with a lot of natural light.",猫は日向で寝るのが好きです。,noun
早い,ハヤイ,hayai,形容詞-一般,1,early,Refers to something happening before the usual or expected time. Can also mean quick or fast when describing speed or efficiency.,彼は毎朝早い時間に起きます。,adjective
指示,シジ,shiji,名詞-普通名詞-サ変可能,1,instruction,"Direction, order, or instruction given by someone that is meant to be followed. It often refers to a command or guideline provided in different contexts, such as in a workplace or during an activity.",彼の指示に従ってください。,noun
放題,ホーダイ,houdai,名詞-普通名詞-一般,1,all-you-can,The concept of 'all-you-can' as in 'all-you-can-eat' or 'unlimited'. Used to describe situations or services where there is no restriction on the amount used within a certain time or payment.,彼は寿司の食べ放題を楽しんでいる。,noun
早かっ,ハヤカッ,hayaka,形容詞-一般,1,was fast,"This word is the past tense form of the adjective 早い (hayai), which means 'fast' or 'early', thus '早かっ' translates to 'was fast' or 'was early'.",彼は学校に行くのが早かった。,adjective
変わら,カワラ,kawa,動詞-一般,1,change,"This verb, '変わら', refers to the act of changing or undergoing a transformation. It is often used to express when something alters its state, condition, or appearance.",時間が経っても、彼の考えは変わらなかった。,verb
悲しい,カナシー,kanashii,形容詞-一般,1,sad,"Expressing or feeling sorrow, grief, or unhappiness. It can describe a situation, object, or person's emotional state when they are affected by negative emotions.",彼はいつも悲しい顔をしている。,adjective
垂れ,タレ,tare,動詞-一般,1,hang,"'垂れ' is a verb that means to hang, droop, or dangle. It can be used to describe something that is hanging down, such as leaves or fabric.",カーテンが風で垂れている。,verb
少し,スコシ,sukoshi,副詞,1,a little,A little; slightly; to a small extent. Often used to indicate a small amount or degree of something.,少し眠いです。,adverb
尋常,ジンジョー,jinjou,形状詞-一般,1,ordinary,"The word '尋常' means ordinary, usual, or normal. It refers to something that is not unusual or exceptional. It is often used to describe things that are common or customary.",彼の行動は全く尋常ではなかった。,adjective
孤独,コドク,kodoku,名詞-普通名詞-形状詞可能,1,loneliness,A state of being alone or feeling isolated without companions. It can also describe a feeling of emptiness or longing for connection.,彼は孤独を感じていた。,noun
四苦,シク,shiku,名詞-普通名詞-一般,1,four sufferings,"Refers to the four fundamental sufferings in Buddhism: birth, aging, illness, and death.",仏教では、生老病死の四苦を説いています。,noun
増える,フエル,fue,動詞-一般,1,increase,"To increase or grow in number, quantity, or intensity. It can refer to a rise in amount, population, or magnitude, among other contexts.",人口が増える。,verb (general)
広,ヒロ,kou,形容詞-一般,1,wide,"Describes something that has a great extent from side to side, having a large space or capacity. It can refer to physical dimensions, such as the width of an object, or metaphorical breadth, such as having a broad understanding or perspective.",広い部屋が欲しい。,adjective
嫌わ,キラワ,kirawa,動詞-一般,1,dislike,The word '嫌わ' means 'to dislike' or 'to have an aversion towards something or someone'. It indicates a negative sentiment or repulsion and is often used when expressing feelings of disliking or rejecting someone or something.,彼はその食べ物を嫌っている。,verb
壊す,コワス,kowasu,動詞-一般,1,break,"To damage or destroy something, causing it to stop functioning or be ruined; to make something unusable or function badly.",彼は誤って花瓶を壊してしまった。,verb
嫌,イヤ,iya,形状詞-一般,1,dislike,"The word '嫌' is an adjective that describes a feeling of aversion or dislike towards something, often implying a sense of discomfort or unwillingness.",彼はその仕事が嫌だと言った。,adjective
変,ヘン,hen,名詞-普通名詞-形状詞可能,1,strange,"The word 変 (hen) can mean 'strange,' 'odd,' 'unusual' or 'weird.' It is commonly used in contexts where something or someone is out of the ordinary, or peculiar. It can also imply unexpected changes or deviations from the norm.",この絵は少し変ですね。,noun (common)
好き,スキ,suki,形状詞-一般,1,like,A word used to express preference or fondness for something. It is often used to describe something one enjoys or has a favorable opinion of.,私は音楽が好きです。,adjective
奈良,ナラ,nara,名詞-固有名詞-人名-姓,1,Nara,"The word '奈良' refers to a proper noun, specifically a surname or family name in Japanese. It is also a proper name for a historic city and prefecture in Japan known for its cultural heritage and historical significance.",奈良さんは昨日の会議に出席しました。,noun
山中,ヤマナカ,sanchuu,名詞-固有名詞-人名-姓,1,Yamanaka,"Yamanaka is a common Japanese surname. It is a proper noun used to identify individuals with this family name, often written with kanji characters meaning 'mountain' and 'middle', suggesting a geographical origin related to mountains.",山中さんは学校の先生です。,noun - proper noun - personal name - surname
座っ,スワッ,suwatsu,動詞-一般,1,sit,"The verb '座っ' (suwaru) means 'to sit' in English, referring to the action of lowering the body into a sitting position, typically on a chair or similar surface.",彼女は椅子に座った。,verb
恋路,コイジ,koiji,名詞-普通名詞-一般,1,romance,A term that refers to a path or course of love or a romantic relationship. It can indicate the process or journey of a romantic endeavor.,彼らの恋路は順調だった。,noun
思う,オモウ,omou,動詞-一般,1,think,"The verb '思う' means 'to think' or 'to consider.' It can also imply feelings or opinions, such as 'to feel' or 'to suppose.'",私はそう思う。,verb
怒ら,オコラ,ikara,動詞-一般,1,get angry,"The verb ""怒ら"" is a form of the verb ""怒る"" which means to become angry or to get mad. It is used to express the action of becoming angry about something.",彼は何かに怒らないといいけど。,verb
必死,ヒッシ,hisshi,形状詞-一般,1,Frantic,"The word '必死' translates to 'frantic' or 'desperate' in English. It describes a state of being where a person is putting all effort or energy into something, often out of a need to succeed or survive.",彼は必死に走った。,Adjective
十,ジュー,juu,名詞-数詞,1,ten,"The Japanese word ""十"" translates to ""ten"" in English, representing the numerical value of 10. It is a basic numeral used for counting, calculations, and indicating quantities in both everyday and mathematical contexts.",私は十匹の犬を飼っています。,noun-numeral
従っ,シタガッ,shitagatsu,動詞-一般,1,follow,"To act according to guidance, rules, or instructions. It can also mean to move behind in the same direction, or to adhere to a path or decision.",彼は先生の指示に従った。,verb
後戻り,アトモドリ,atomodori,名詞-普通名詞-サ変可能,1,backtracking,"The act of going back to a previous state or position, often implying a reversal of progress or decision, literally meaning 'going backward'.",彼は後戻りすることなく、前進し続けた。,noun
午後,ゴゴ,gogo,名詞-普通名詞-副詞可能,1,afternoon,"The time of day between noon and evening, typically used to refer to the period after 12 PM until 6 PM.",毎日午後に散歩しています。,noun
叱ら,シカラ,shikara,動詞-一般,1,scold,"The verb '叱ら' means 'to scold' or 'to reprimand', which involves expressing disapproval or criticism of someone's behavior in a strong manner.",彼は彼女を叱らないでください。,verb
当然,トーゼン,touzen,形状詞-一般,1,obvious,"Obvious, natural, or evident; used to express something that is self-explanatory or expected.",それは当然のことです。,adjective
当然,トーゼン,touzen,副詞,1,naturally,"Naturally or of course, indicating that something is obvious, expected, or a matter of course in a given context.",彼は当然のようにそれを受け入れた。,adverb
受け持つ,ウケモツ,ukemotsu,動詞-一般,1,take charge,"To take responsibility for or be in charge of something or someone, often referring to an assignment or duty.",彼は新しいプロジェクトを受け持つことになった。,verb
引っ掛かっ,ヒッカカッ,hikkaka,動詞-一般,1,caught,"The verb 引っ掛かる (hikkakaru) means to get caught or stuck on something. It can also imply entanglement, being snagged, or ensnared.",彼のシャツがフェンスに引っ掛かった。,verb
口答え,クチゴタエ,koutou,名詞-普通名詞-一般,1,retort,"A response or reply that is often quick and sharp, typically indicating disagreement or sass.",彼はいつも先生に口答えをする。,noun
引っ張る,ヒッパル,hipparu,動詞-一般,1,pull,"To exert force upon something or someone to bring it closer, to drag, or to draw. It can also imply extending or lengthening something, like pulling a piece of clothing.",彼はロープを引っ張る。,verb
勝つ,カツ,katsu,動詞-一般,1,win,"To achieve victory or success in a competition, contest, or struggle, usually by surpassing an opponent or challenge.",彼はその試合で勝つために一生懸命練習した。,verb
熱い,アツイ,atsui,形容詞-一般,1,hot,Describes something characterized by a high temperature; can be used to express enthusiasm or intense feelings.,熱いスープを飲みました。,adjective
期限,キゲン,kigen,名詞-普通名詞-一般,1,deadline,"In English, the word '期限' can be translated to 'deadline' or 'time limit'. It refers to a specific time by which something is supposed to be completed or within which an event must occur.",このプロジェクトの提出期限は来週です。,noun
難解,ナンカイ,nankai,名詞-普通名詞-形状詞可能,1,difficult,Refers to something that is difficult or hard to understand. It can be used to describe complex or intricate subjects that are not easily comprehensible.,この問題はとても難解です。,"Noun, common noun, adjectival noun possible"
関係,カンケー,kankei,名詞-普通名詞-サ変可能,1,relationship,"Relationship or connection, often refers to the way in which two or more concepts, objects, or people are connected or related to each other.",彼らは長い間良い関係を保っている。,noun
遭っ,アッ,atsu,動詞-一般,1,encounter,"To meet with or experience something, especially something unpleasant or unexpected.",彼は山で熊に遭った。,verb
遅刻,チコク,chikoku,名詞-普通名詞-サ変可能,1,tardiness,"The act or state of being late, especially for work or school. It can imply a habitual lateness.",彼はよく会議に遅刻します。,noun
迫ろう,セマロー,semaro,動詞-一般,1,approach,"The verb '迫ろう' is a volitional form of '迫る' (semaru), which means to approach or draw near, often implying pressing urgency or a situation forcing a decision. The volitional form implies intent or attempt to do so.",締め切りが迫ろうとしている。,verb
返り討ち,カエリウチ,kaeriuchi,名詞-普通名詞-一般,1,retaliation,"The act of counter-attacking or taking revenge against an opponent who attacked first, often turning the tables on them.",彼は敵を返り討ちにして勝利を収めた。,noun
返し,カエシ,kaeshi,名詞-普通名詞-一般,1,return,"返し (kaeshi) refers to a 'return,' 'reversal,' or 'reply' in the context of various situations, such as returning something back, a comeback, or responding to someone's action or words.",彼のコメントに対して、即座に返しをした。,noun
近づい,チカズイ,chikazu,動詞-一般,1,approach,"The verb '近づく' means to approach, to get close, or to draw near to someone or something. The form '近づい' is a conjugated form used as a temporal or adverbial clause.",彼が近づいてきたときに気づいた。,verb
賞味,ショーミ,shoumi,名詞-普通名詞-サ変可能,1,taste,"The word ""賞味"" refers to the enjoyment of eating or drinking; appreciating the taste and flavor of food or beverages.",寿司を賞味するのは楽しみだ。,noun
負け,マケ,make,動詞-一般,1,lose,The action or process of being defeated or failing to win a contest or game. It can also mean to fail to maintain or uphold something.,彼は試合に負けた。,verb
諦め,アキラメ,akirame,動詞-一般,1,give up,"To give up, abandon, or resign oneself to something. Often used when one decides not to continue pursuing a goal or dealing with a difficult situation.",試験に失敗したが、諦めないことに決めた。,verb
試練,シレン,shiren,名詞-普通名詞-一般,1,trial,A difficult or challenging situation that tests a person's resilience or abilities.,彼は試練に立ち向かっている。,noun
面積,メンセキ,menseki,名詞-普通名詞-一般,1,area,Area refers to the measure of the extent of a surface or piece of land. It can also indicate the extent or scope of something in more abstract terms.,部屋の面積を測ります。,noun
ｱｽﾏ,ｱｽﾏ,asuma,名詞-普通名詞-一般,1,asma,"Asma is a transliteration or katakana representation of a proper noun, such as a name, or could also refer to 'asthma' depending on context.",アスマは今日学校に行きました。 (Asuma went to school today.),noun
鼻歌,ハナウタ,hanauta,名詞-普通名詞-サ変可能,1,humming,"Humming refers to the act of singing a tune softly with closed lips, producing a continuous sound. In Japanese, 鼻歌 (hanauta) specifically indicates the light, casual action of humming a tune.",彼女は仕事をしながら鼻歌を歌っていた。,noun
鼓動,コドー,kodou,名詞-普通名詞-サ変可能,1,heartbeat,The rhythmic contractions of the heart as it pumps blood throughout the body. It can also signify the beat or pulse associated with heart activity.,恋人を見たときに胸の鼓動が高鳴った。,noun
騒ぎ,サワギ,sawagi,名詞-普通名詞-一般,1,commotion,"A state of noisy confusion, excitement, or activity often caused by a particular event or situation. It can refer to a disturbance or uproar that captures attention.",彼らの大騒ぎは夜遅くまで続いた。,noun
飲ん,ノン,non,動詞-一般,1,drink,"The word '飲ん' is the stem form of the verb '飲む' (nomu), which means 'to drink' in English. It is used to indicate the act of consuming liquids through the mouth.",彼はジュースを飲んでいます。,verb
食べ,タベ,tabe,動詞-一般,1,eat,The verb 'eat' refers to the act of consuming food and is used to describe someone or something that is in the process of taking in and digesting food.,私は毎日朝食を食べます。,verb
解散,カイサン,kaisan,名詞-普通名詞-サ変可能,1,dissolution,"The act of formally ending or dismissing an assembly, partnership, or official body. Often used to refer to the disbanding of a group or organization, such as a parliament or a company.",会社の解散が決定された。,noun
解け,トケ,toke,動詞-一般,1,solve,"The word ""解け"" is the imperative or connective form of ""解く,"" which means to solve, unravel, or untangle a problem or mystery.",問題がすぐに解けた。,verb
痛,イタ,tsuu,形容詞-一般,1,painful,"Causing pain or discomfort, or experiencing a sensation of pain; can refer to physical sensations or emotional distress.",彼の腕が痛いです。,adjective
生き残り,イキノコリ,ikinokori,名詞-普通名詞-一般,1,survival,"The condition or fact of continuing to live or exist, especially in environments or situations that are challenging.",災害の後、生き残りの人々は協力して再建を始めた。,noun
犬塚,イヌズカ,inutsuka,名詞-固有名詞-人名-姓,1,Inuzuka,Inuzuka is a Japanese surname. It is a proper noun used as a family name and may be associated with various individuals in Japan.,犬塚さんは昨日新しい車を買いました。,Proper Noun - Name - Surname
特別,トクベツ,tokubetsu,形状詞-一般,1,special,"This word denotes something that is not usual, common, or ordinary. It refers to something that is distinct or distinguished from others.",この日は特別な日です。,adjective
牛乳,ギューニュー,gyuunyuu,名詞-普通名詞-一般,1,milk,"Milk, a white liquid produced by the mammary glands of mammals. It is commonly consumed as a beverage and used in cooking.",朝食には牛乳を飲みます。,noun-common noun-general
焼き肉,ヤキニク,yakiniku,名詞-普通名詞-一般,1,grilled meat,"Grilled meat, often referring to the style of cooking where meat is grilled or barbecued, commonly associated with Korean-style barbecue or Japanese yakiniku, where customers cook meat on a grill directly at their table.",昨日、友達と焼き肉を食べに行きました。,noun
焦る,アセル,aseru,動詞-一般,1,to panic,"To feel anxious, nervous, or hurried in a stressful situation, often leading to ineffective or rash actions.",彼は試験中に焦ることが多い。,verb-general
演じ,エンジ,enji,動詞-一般,1,act,"To perform or portray a character in a play, movie, or other performance.",彼は舞台で主人公を演じた。,verb
治まっ,オサマッ,osama,動詞-一般,1,settle,"The verb '治まっ' refers to the act of settling down, coming to a calm state, or the resolution of a situation, often after disorder or turmoil. It can also imply governance or control being restored.",暴動が治まった。,verb
油断,ユダン,yudan,名詞-普通名詞-サ変可能,1,negligence,"Negligence or carelessness. It refers to the state of not being cautious or letting one's guard down, which can lead to mistakes or accidents.",油断すると事故を起こすかもしれない。,noun
油,アブラ,abura,名詞-普通名詞-一般,1,oil,"A substance typically referred to as a liquid at room temperature, oil is a general term often used to describe a variety of fluids that are greasy, viscous, and flammable. It includes various plant, animal, or petrochemical origins used for cooking, lubrication, fuel, and more.",車のエンジンに油を注ぐ。,noun
決め,キメ,kime,動詞-一般,1,decide,"To make a decision or determination about something. It can refer to deciding upon a course of action, making a resolution, or settling a matter.",彼は大事なことを決めた。,verb
