surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
クズ,クズ,kuzu,名詞-普通名詞-一般,2,trash,"The word 'クズ' can refer to trash, waste, or debris. It can also be used metaphorically to describe a person as worthless or having no virtue.",彼はクズだから信じちゃダメだ。,noun
そりゃ,ソリャ,sorya,代名詞,2,that,"It is a casual or colloquial form of 'それは' (sore wa), meaning 'that is' or 'that's'. It is often used in spoken Japanese to refer to something mentioned before or something known to the listener and speaker.",そりゃ、すごいニュースだね。,pronoun
ただし,タダシ,tadashi,接続詞,2,however,"'Tadashi' is a conjunction used to indicate a condition or exception to a previous statement. It is similar to 'however', 'provided that', or 'except' in English, often used to introduce a contrast or a specific condition.",彼の提案はいいですが、ただし予算の問題があります。,conjunction
死な,シナ,shina,動詞-一般,1,die,"To cease living or stop existing, often in reference to a living being. Indicates the act of losing life.",彼はすぐに死ななかった。,verb
時点,ジテン,jiten,名詞-普通名詞-一般,1,point in time,A specific point or moment in time where an event occurs or a situation is observed.,その時点での状況を教えてください。,noun
時計,トケー,tokei,名詞-普通名詞-一般,1,clock,"A clock is a device used for measuring and indicating time. It can refer to both analog and digital devices, as well as watches or larger clocks like grandfather clocks.",壁には大きな時計が掛けられている。,noun
次回,ジカイ,jikai,名詞-普通名詞-副詞可能,1,next time,The word '次回' refers to 'the next time' or 'the next occurrence of an event'. It is used to indicate that something will happen in the subsequent instance.,次回はもっと早く来ます。,noun
残念,ザンネン,zannen,形状詞-一般,1,regretful,The word '残念' expresses the feeling of regret or disappointment about an unfortunate situation. It is often used to convey sorrow or that something didn't go as expected.,試合が雨で中止になって本当に残念です。,adjective
無事,ブジ,buji,形状詞-一般,1,safe,"The word '無事' can be translated as 'safe', 'unharmed', 'without incident' or 'peaceful'. It is often used to describe a state where no harm has occurred and everything is in order.",彼は無事に家に帰りました。,adjective
火球,カキュー,kakyuu,名詞-普通名詞-一般,1,fireball,"A fireball refers to a ball of fire, often seen as a glowing ball of light caused by meteoroids burning up in the Earth's atmosphere or any large, bright explosion.",夜空に巨大な火球が現れた。,noun
決めつけ,キメツケ,kime,動詞-一般,1,assume,"To make a firm judgment or conclusion without considering other possibilities or alternatives, often prematurely or incorrectly.",彼は自分の意見だけで物事を決めつける。,verb
殺さ,コロサ,korosa,動詞-一般,1,kill,"""殺さ"" is the stem form of the verb ""殺す"" which means ""to kill"" in English. It can refer to taking someone's life or causing death.",彼は危険な状況で敵を殺さなければならなかった。,verb
気絶,キゼツ,kizetsu,名詞-普通名詞-サ変可能,1,faint,The act of losing consciousness temporarily. It can also refer to collapsing or swooning due to shock or weakness.,暑さで彼は気絶してしまった。,noun
気付か,キズカ,kizuka,動詞-一般,1,notice,To become aware of or realize something.,彼は間違いに気付かなかった。,verb
気付い,キズイ,kizui,動詞-一般,1,noticed,"The word '気付い' is a inflected form of the verb '気付く', which means 'to notice', 'to become aware of', or 'to realize'. It implies a moment of realization or becoming conscious of something.",彼はその間違いに気付いた。,verb-general
斬首,ザンシュ,kirikubi,名詞-普通名詞-サ変可能,1,beheading,The act or practice of cutting off someone's head as a form of execution or punishment.,彼は反逆罪で斬首された。,noun
心中,シンジュー,shinjuu,名詞-普通名詞-サ変可能,1,suicide pact,"The term 心中 (しんじゅう, shinjuu) typically refers to a mutual agreement between two or more individuals to commit suicide together. Historically, it has been associated with romantic partners or lovers who choose to die together due to unforgiving circumstances, though it can also apply to other kinds of mutual suicides.",彼らは心中を決意した。,noun
当たり前,アタリマエ,atarimae,形状詞-一般,1,natural,"This word conveys something that is natural, obvious, or expected, often used in the sense of something being taken for granted.",それは当たり前のことです。,adjective
引っ掛から,ヒッカカラ,hikkaka,動詞-一般,1,catch,"To get caught, be stuck on something, or be snagged or hooked, often referring to getting attached or entangled with something.",彼の服は釘に引っ掛からないように注意した。,verb
幻覚,ゲンカク,genkaku,名詞-普通名詞-一般,1,hallucination,"Hallucination refers to the experience of perceiving something that is not present in reality, often as a result of mental or psychological conditions.",彼は強い薬の影響で幻覚を見た。,noun
帰る,カエル,kaeru,動詞-一般,1,return,To go back to a place; to return home or to where one originated from.,彼は毎日午後７時に帰る。,verb
差,サ,sa,名詞-普通名詞-一般,1,difference,"The word ""差"" refers to the difference or disparity between two things, such as in size, number, extent, or amount. It can be used to describe comparison or contrast, and often implies a quantitative evaluation.",彼と私には考え方の差があります。,noun
少ない,スクナイ,sukunai,形容詞-一般,1,few,"Denotes a small quantity or number, indicating scarcity or insufficiency.",彼の持っているお金は少ない。,adjective
小食,ショーショク,shoushoku,名詞-普通名詞-形状詞可能,1,light eater,Refers to a person who eats small amounts of food or whose appetite is small.,彼は小食なので、普通の人が食べる量の半分で満足する。,noun
数多く,カズオーク,kazuooku,副詞,1,many,"In English, this word translates to 'many' or 'numerous' and is used to indicate a large quantity or number of something.",数多くの人々が祭りに参加した。,adverb
状況,ジョーキョー,joukyou,名詞-普通名詞-一般,1,situation,The word '状況' refers to the current state or condition of things. It involves the circumstances or context in which an event or a series of events occur. It can also mean a set of facts that determine the environment or condition of an action or event.,現場の状況を確認してください。,noun
挑戦,チョーセン,chousen,名詞-普通名詞-サ変可能,1,challenge,A task or situation that tests someone's abilities; an attempt to overcome or engage with something difficult.,彼は新しい課題に挑戦するのを楽しんでいます。,noun
択,タク,taku,接尾辞-名詞的-一般,1,choose,"The suffix '択' can refer to choices or selections, often used in compound words to indicate an option or a selection process.",選択しなければならない。,suffix-noun
技能,ギノー,ginou,名詞-普通名詞-一般,1,Skill,"An ability or proficiency in a specific activity or field, often acquired through training or experience. This can refer to practical skills, technical expertise, or talents that are developed and refined over time.",彼は新しい技能を習得しました。,Noun - Common noun - General
打た,ウタ,uta,動詞-一般,1,hit,"打た is the past form of ""打つ"" which means to hit, strike, or shoot. It can also imply actions like beating or defeating with an object or physically.",彼はピッチャーの球を打たれた。,verb
手遅れ,テオクレ,teokure,名詞-普通名詞-一般,1,too late,referring to a situation where the opportunity to take action has passed and it cannot be changed.,手遅れになる前に、早く対策を講じるべきだ。,noun
慰霊,イレー,irei,名詞-普通名詞-一般,1,memorial,A ritual or ceremony held to honor and pray for the souls of the deceased.,戦争犠牲者の慰霊式が公園で行われた。,noun
恨む,ウラム,uramu,動詞-一般,1,to resent,"To feel bitterness or indignation towards someone or something, often due to a perceived wrong or unfair treatment.",彼は長い間、彼女を恨んでいた。,verb
急げ,イソゲ,isoge,動詞-一般,1,hurry,The verb '急げ' means 'hurry' or 'quickly go' in English. It is an imperative form of the verb '急ぐ' which means 'to hurry' or 'to rush'. It is used to command or request someone to move or act quickly.,次の電車に乗るために、駅まで急げ。,verb
犬死に,イヌジニ,inujini,名詞-普通名詞-一般,1,useless death,"A death that occurs in vain or without achieving anything meaningful, often considered pointless.",彼の努力はすべて犬死にだった。,noun
現し,アラワシ,arawashi,動詞-一般,1,reveal,To reveal or show something that was previously hidden or not visible. It can also imply making something apparent or manifest.,彼は真実を現した。,verb
狙う,ネラウ,nerau,動詞-一般,1,aim,To aim at; to target or seek something. It involves setting a goal or objective and attempting to achieve or reach it.,彼は成功を狙っている。,verb
遂行,スイコー,suikou,名詞-普通名詞-サ変可能,1,execution,"Execution or carrying out, especially in terms of performing tasks or completing processes.",彼は任務の遂行に成功した。,noun
逆らう,サカラウ,sakara,動詞-一般,1,oppose,"The verb '逆らう' means to go against or resist something, often used in the context of opposing authority or resisting a certain direction or order.",彼は上司の命令に逆らうべきではない。,verb
迫ら,セマラ,semara,動詞-一般,1,press,"'迫ら' is derived from '迫る', meaning to press or urge someone to take an action or make a decision. It can imply demanding, urging, or putting pressure on someone.",彼は彼女に結婚の決断を迫った。,verb
踏む,フム,fumu,動詞-一般,1,step on,"To step on something with one's foot, often used to describe pressing down or treading on something.",道を歩いているとき、彼は石を踏んだ。,verb
足り,タリ,tari,動詞-一般,1,enough,To be sufficient or adequate for a particular purpose or requirement.,時間が足りません。,verb
資格,シカク,shikaku,名詞-普通名詞-一般,1,qualification,"A qualification refers to a requirement or a credential needed to perform a certain job or task, often involving certain skills, education, or experience.",彼はその仕事に必要な資格を持っている。,noun
豪,ゴー,gou,名詞-普通名詞-一般,1,magnificence,"The word '豪' (gou) refers to grandeur, magnificence, or splendor. It can also imply someone who is bold, strong, or extravagant, often used to describe personalities or styles that are impressive and commanding.",彼の家は豪邸だ。,noun
護衛,ゴエー,goei,名詞-普通名詞-サ変可能,1,escort,"Protection or guard, referring to those who accompany to ensure safety, such as in a military context or personal safety.",彼は要人の護衛を担当している。,noun
鳴っ,ナッ,natsu,動詞-一般,1,ring,"To produce a sound, particularly resonant or sharp sounds like ringing. Often used for sounds made by objects such as bells, alarms, or phones.",ベルが鳴っている。,verb
触れ,フレ,fure,動詞-一般,1,touch,To make contact with or feel with a part of the body. It can also mean to bring up or mention a topic.,彼は優しく彼女の肩に触れた。,verb
親友,シンユー,shinyuu,名詞-普通名詞-一般,1,best friend,"A person with whom one shares a deep, enduring friendship, often characterized by mutual trust, support, and understanding. Commonly used to describe someone who is very close to you.",彼は私の親友です。,noun
独走,ドクソー,dokusou,名詞-普通名詞-サ変可能,1,monopoly,"Refers to the act of running alone or having a monopoly on an activity or domain, commonly used in contexts such as sports or business to indicate leading or dominating without competition.",彼はレースで独走状態だった。,noun
過酷,カコク,kakoku,形状詞-一般,1,harsh,"Extremely severe or difficult, often used to describe challenging conditions or situations.",その地域の気候は過酷です。,adjective
食おう,クオー,kuo,動詞-一般,1,eat,"Let's eat; it is the volitional form of the verb 'eat', expressing the speaker's intention or suggestion to eat.",早く食おう。,verb
食え,クエ,kue,動詞-一般,1,eat,"An imperative form of the verb 'to eat', often used to command or strongly suggest someone to eat something.",ご飯を食え。,verb
頭角,トーカク,toukaku,名詞-普通名詞-一般,1,prominence,"The word means 'prominence' or 'distinction,' referring to standing out or excelling in a particular field or area.",彼は若い頃から音楽の分野で頭角を現した。,noun
頑張る,ガンバル,ganbaru,動詞-一般,1,to strive,"To work hard or put in effort towards a goal. It encompasses meanings such as striving, doing one's best, persevering, or hanging in there.",試験に向けて頑張る。,verb
面,メン,men,名詞-普通名詞-助数詞可能,1,surface,"In English, '面' refers to the surface or face of an object, commonly used in contexts involving geometry, like the surfaces of solids, or everyday items like the face of a building, surface of the ground, etc.",壁の面をきれいにする必要があります。,noun
陥れ,オトシイレ,ochiire,動詞-一般,1,trap,"To bring someone or something into a trap or a difficult situation, often through deceitful or cunning actions. It implies causing someone to fall into a predicament or misfortune.",彼は陰謀で彼女を陥れようとした。,verb
開始,カイシ,kaishi,名詞-普通名詞-サ変可能,1,start,"The beginning or commencement of something, often used for events, processes, or periods.",そのイベントは明日開始されます。,noun
重要,ジューヨー,juuyou,形状詞-一般,1,important,Significant or of great value; having notable influence or effect.,このプロジェクトは非常に重要です。,adjective
馬,ウマ,uma,名詞-普通名詞-一般,1,horse,"A large domesticated ungulate mammal with solid hooves and a flowing mane and tail, used widely for riding and racing.",牧場で馬を見ました。,noun
視,シ,shi,接尾辞-名詞的-サ変可能,1,view,"When used as a noun-forming suffix, 視 can mean 'view', 'vision', or 'perspective'. It often indicates the act of seeing or how something is perceived.",彼女の考え方には未来を見据えた視がある。,suffix
素直,スナオ,sunao,形状詞-一般,1,honest,"The word '素直' means being straightforward, honest, and easy to read one's emotions. It can imply a kind-hearted demeanor or someone who is not pretentious.",彼はとても素直な性格です。,adjective
私,シ,watashi,名詞-普通名詞-一般,1,I,"A personal pronoun used to refer to the speaker themselves. It can be used in various contexts to indicate possession, identity, or subject in a sentence.",私は学生です。,noun
破る,ヤブル,yaburu,動詞-一般,1,break,"To break, tear or violate something, such as a rule, promise, or an item.",彼は約束を破った。,verb
目的,モクテキ,mokuteki,名詞-普通名詞-一般,1,purpose,"The word '目的' refers to an aim or goal that someone plans to achieve, or the intent behind an action or decision. It is commonly used to describe the reason something is done or the desired outcome one is working towards.",このプロジェクトの目的は何ですか？,noun
生首,ナマクビ,namakubi,名詞-普通名詞-一般,1,severed head,"A severed head, referring specifically to a human head that has been detached from the body.",古い伝説には、彼の生首が湖に沈んでいたと言われています。,noun
理解,リカイ,rikai,名詞-普通名詞-サ変可能,1,understanding,"Understanding refers to the ability to comprehend or grasp the meaning, nature, or significance of something. It involves mental processes through which an individual becomes aware of and interprets information or experiences.",彼の説明は理解しやすかった。,noun
結果,ケッカ,kekka,名詞-普通名詞-副詞可能,1,result,Result is used to refer to the outcome or consequence of a particular action or process. It can also imply the effect that follows an event.,試験の結果が発表された。,"noun (common noun, adverbial possible)"
腹の虫,ハラノムシ,hara,名詞-普通名詞-一般,1,guts,"A more detailed explanation of '腹の虫' is it refers to the mood, feelings, or state of mind, often underlying and not visible. It can indicate annoyance, tension, or irritation, like saying 'stomach butterflies' or 'inner demons.'",彼は腹の虫が収まらない様子だった。,noun
行う,オコナウ,okonau,動詞-一般,1,perform,"To carry out or execute a task, action, or activity. It is often used in formal or official contexts.",試験を行う。,verb
脳,ノー,nou,名詞-普通名詞-一般,1,brain,"The organ inside the head that controls thought, memory, feelings, and activity. In a broader context, '脳' can refer to the mind or brainpower, and is vital for processing information and controlling functions in humans and animals.",彼は脳の研究をしています。,noun-common noun-general
縄,ナワ,nawa,名詞-普通名詞-一般,1,rope,"A long, thick cord made from twisted or braided fibers, often used for tying or securing objects.",彼は木の枝に縄を結んだ。,noun
聞け,キケ,kike,動詞-一般,1,listen,To listen or hear something attentively or properly.,彼の話を聞け。,verb
聞く,キク,kiku,動詞-一般,1,listen,"To perceive sound using the ears, to heed or pay attention to something, or to ask in order to understand or confirm information.",彼は音楽を聞くのが好きです。,verb
やっ,ヤッ,yatsu,感動詞-一般,1,wow,"An expression of excitement, surprise, or triumph.",やっ、今日は勉強が終わった！,interjection
やい,ヤイ,yai,感動詞-一般,1,hey,"A call to get someone's attention, often used in a slightly rough or informal manner. Similar to saying 'hey' or 'oi' in English to grab someone's attention or address someone in a slightly curt way.",おい、やい！聞いてるか？,interjection
じゃあ,ジャー,jaa,接続詞,1,then,It is used as a conjunction to transition or introduce a new topic or action. It can also indicate a shift in conversation or refer to the immediate next action or conclusion.,じゃあ、次の質問に行きましょう。,conjunction
むだ話,ムダバナシ,muda,名詞-普通名詞-一般,1,chatter,Idle talk or gossip that generally lacks importance or purpose.,彼はむだ話で時間を無駄にしている。,noun
みそ,ミソ,miso,名詞-普通名詞-一般,1,miso,Miso is a traditional Japanese seasoning produced by fermenting soybeans with salt and koji; it is a staple in Japanese cuisine.,あの味噌汁はとても美味しいです。,noun
まるで,マルデ,marude,副詞,1,as if,"Used to express similarity or comparison, often suggesting that something seems to be the case but is not really so. It can also imply exaggerations or unreal situations.",まるで夢を見ているかのようだ。,adverb
くそ,クソ,kuso,名詞-普通名詞-一般,1,excrement,A vulgar term in Japanese for feces or excrement. It is often used in slang language to express frustration or as an expletive.,ああ、くそ！仕事を忘れてしまった。,noun-common-noun-general
しな,シナ,shina,名詞-普通名詞-助数詞可能,1,goods,"Refers to items or goods, often used in the context of merchandise or possessions. It can also imply qualities, features, or a state in a broader context.",店では新しいしなが並べられています。,noun (common noun - countable possible)
オチ,オチ,ochi,名詞-普通名詞-一般,1,punchline,"The term 'オチ' (ochi) refers to the punchline or conclusion of a story, joke, or narrative in Japanese. It represents the ending or the decisive part that provides entertainment or surprise, similar to the punchline in jokes or the twist in a story.",彼のジョークは毎回最後にオチがある。,noun
イチャイチャ,イチャイチャ,ichaicha,副詞,1,flirtatiously,"Behaving in a way that is playful or affectionate, often implying romantic or sexual flirting, such as cuddling or playfully teasing.",彼らは公園でイチャイチャしていた。,adverb
くっつく,クッツク,kuttsuku,動詞-一般,1,stick,To stick or cling to something; to adhere or attach closely.,子供が母親にくっついて離れない。,verb
けっ,ケッ,ketsu,動詞-一般,1,decide,To make a choice or come to a resolution about something. It can also imply settling upon a particular thought or action.,最終的に彼はけっすることにした。,verb
ごと,ゴト,goto,接尾辞-名詞的-一般,1,including,"The suffix 'ごと' is used in Japanese to indicate inclusion or entirety, often implying 'every' or 'entire.' It can mean 'all,' 'each,' or 'every part of.'",本ごと棚に戻す。,suffix - noun-like - general
さも,サモ,samo,副詞,1,as if,"It expresses the manner or appearance that seems to indicate a certain state or condition, often used to describe the way something appears to be true or seems apparent.",彼はさも知っているかのようにうなずいた。,adverb
よさ,ヨサ,yosa,形容詞-非自立可能,1,goodness,"Yo-sa refers to the quality or state of being good, excellent, or preferable. It can describe the good points or virtues of something or someone.",日本料理のよさに驚いた。,adjective (incapable of standing alone)
ようやく,ヨーヤク,youyaku,副詞,1,finally,Indicates that something has happened or been achieved at last after some delay or difficulty. It suggests a sense of relief or completion after waiting or working towards something.,ようやく彼に会えた。,adverb
ま,マ,ma,記号-一般,1,ma,"This is a symbolic representation often used in greetings, expressions of surprise, or to catch attention in Japanese. It can be translated to something akin to 'oh', 'well', or 'my'.",まあ、今日はいい天気ですね。,symbol/general
ちまえ,チマエ,chimae,助動詞,1,let's do,"Chimae (ちまえ) is a colloquial form of 'shite oki-chae,' an auxiliary verb used to suggest doing something as a means of completion or encouragement.",早くやっちまえ！(はやくやっちまえ！),auxiliary verb
なお,ナオ,nao,副詞,1,furthermore,"The word 'なお' is used as an adverb meaning 'furthermore', 'in addition', or 'still'. It can indicate additional information or emphasize a point being made.",なお、この点については更なる議論が必要です。,adverb
ちょ,チョ,cho,副詞,1,a little,It is a casual and informal adverb often used in conversation to mean 'a little' or 'slightly'. It's a shortened form of the word ちょっと (chotto).,ちょ待って！,adverb
っこ,ッコ,kko,接尾辞-名詞的-一般,1,child,"In Japanese, 'っこ' is a suffix used with nouns to indicate a child or young person associated with that noun. It conveys a sense of being born or raised in a particular place or associated with a particular environment or group.",都会育ちのっこにとって、田舎の生活は新鮮だった。,suffix - noun-like - general
つまずい,ツマズイ,tsumazui,動詞-一般,1,stumble,"The action of tripping or losing one's balance, often unexpectedly, while walking or running.",彼は階段でつまずいた。,verb
だっ,ダッ,datsu,動詞-一般,1,was,"The word 'だっ' is an inflected form of the verb 'だ' in Japanese, which means 'to be'. It is often used to indicate existence or identity in past tense.",昨日はとても暑かったんだ。,verb
だっ,ダッ,datsu,副詞,1,merely,The Japanese word 'だっ' is used as an adverb meaning 'merely' or 'just'. It often expresses that something is only or simply the case without additional factors or considerations.,彼はただの学生だっ。,adverb
ほ,ホ,ho,感動詞-一般,1,wow,"An interjection used to express relief, satisfaction, or awe. Similar to saying 'ah' or 'oh' in English when one is impressed or relieved.",ほ、ようやく終わったね。,interjection
へっちゃら,ヘッチャラ,hetchara,形状詞-一般,1,unfazed,"Used to describe someone who remains calm or indifferent regardless of the situation, showing no signs of worry or concern.",彼はどんな問題に直面してもへっちゃらだ。,adjective
へぇ,ヘー,hee,感動詞-一般,1,Wow!,"An expression used to show surprise, interest, or being impressed. Similar to saying 'Wow!' or 'Really?' in English when reacting to something unexpected or impressive.",へぇ、そんなことがあるんだ。,Interjection
ふん,フン,fun,感動詞-一般,1,Hmm,"An interjection used to express a pause in thought or consideration, often implying mild agreement, understanding, or contemplation.",彼の意見を聞いて、ふんと頷いた。,interjection
びっくり,ビックリ,bikkuri,名詞-普通名詞-サ変可能,1,surprise,An expression of astonishment or shock. It denotes the feeling of being taken aback by something unexpected.,彼の突然の訪問にびっくりしました。,noun
くい,クイ,kui,名詞-普通名詞-一般,1,stake,"A stake is a post or pole that is often used to support things, or it may refer to a post driven into the ground for marking or support.",庭にくいを立ててブランコを作った。,noun
刻む,キザム,kizamu,動詞-一般,1,carve,"To carve or engrave, often used to describe cutting or etching something into a surface, like wood or stone. It can also mean to cut finely or to mince, as in food preparation.",木に名前を刻む。,verb-general
刻ま,キザマ,kizama,動詞-一般,1,engrave,"To carve, engrave, or inscribe, often used in the context of marking or cutting into a surface to create words or designs.",彼は指輪にイニシャルを刻まれた。,verb
利害,リガイ,rigai,名詞-普通名詞-一般,1,interest,Benefits and disadvantages; interests or stakes in a particular issue or situation.,彼らは互いの利害を理解し合った。,noun
あそこ,アソコ,asoko,代名詞,1,there,"'あそこ' is a demonstrative pronoun in Japanese used to refer to a location or place that is away from both the speaker and the listener. It is equivalent to 'there' in English, indicating a place that has been previously mentioned or is understood by the context.",あそこに行きましょう。,pronoun
分け,ワケ,wake,動詞-一般,1,divide,This verb means to separate into parts or to distinguish between different elements. It can also imply sorting or distributing items.,物事を分けるのは時に難しいことです。,verb
ありがとう,アリガトー,arigatou,感動詞-一般,1,thank you,An expression of gratitude or appreciation.,彼にありがとうと言いました。,interjection
ある,アル,aru,連体詞,1,some,"The word ""ある"" is used as an attributive adjective in Japanese to indicate a non-specific amount or existence of things. It can mean ""some"" or ""a certain"" depending on the context.",ある日彼は突然いなくなった。,attributive adjective
出る,デル,deru,動詞-一般,1,come out,"The Japanese verb '出る' (deru) means to exit, appear, come out, or to leave a place. It can also imply emerging, being produced, or being published.",家から出る時間です。,verb
優先,ユーセン,yuusen,名詞-普通名詞-サ変可能,1,priority,"Priority, the state or condition of being more important than something else and therefore being dealt with first or given precedence.",仕事の優先順位を決める。,noun
催眠,サイミン,saimin,名詞-普通名詞-一般,1,Hypnosis,"Hypnosis refers to a psychological state or process where a person becomes highly focused or absorbed, often involving relaxed awareness and increased suggestibility. It is commonly used in therapy to treat various conditions like anxiety, pain management, and habit control.",彼は催眠療法を始めた。,Noun
例えば,タトエバ,tatoeba,副詞,1,for example,"Used to give an example that supports or illustrates a statement; it introduces instances or cases, often used to clarify or explain a point.",彼は多くの趣味を持っています。例えば、釣りやスキーがあります。,adverb
刻ん,キザン,kizan,動詞-一般,1,carve,"To cut or engrave into a material, such as wood or stone; it can also mean to cut into small pieces, like chopping vegetables.",彼は野菜を刻んでいる。,verb
声,コエ,koe,名詞-普通名詞-一般,1,voice,"The word '声' (koe) in Japanese refers to the sound produced by a person's vocal cords, recognized as their 'voice'. It can also refer to any sound or utterance made by a living creature.",その声はとても美しいです。,noun
土,ド,tsuchi,名詞-普通名詞-一般,1,soil,"The Japanese word '土' refers to soil, ground, or earth. It is commonly used to describe the surface layer of the Earth that is capable of supporting plant life, known for its composition of organic material and minerals.",庭にはたくさんの良い土があります。,noun
困る,コマル,komaru,動詞-一般,1,to be troubled,"To experience difficulty, hardship, or a problematic situation that causes distress or requires a solution.",毎日勉強する時間がなくて困る。 (まいにちべんきょうするじかんがなくてこまる。),verb
命懸け,イノチガケ,inochi,名詞-普通名詞-一般,1,risking life,The act or state of putting one's life in danger or jeopardizing one's life for a purpose or cause.,命懸けで彼を救った。,noun
呼ばわり,ヨバワリ,yoba,名詞-普通名詞-一般,1,calling,"An act or instance of calling someone a name or referring to someone in a certain way, typically in a derogatory or informal manner.",彼はそのことで彼女を泥棒呼ばわりした。,noun
合戦,カッセン,kassen,名詞-普通名詞-サ変可能,1,battle,"This word refers to a battle or a fight, especially one that is significant or historic. It can be used to describe a clash between forces, often in a military or competitive context.",歴史上の有名な合戦について学びました。,noun
